二月，李听袭海州，克东海、朐山、怀仁等县	二月，李听出兵袭击海州，攻克东海、朐山、怀仁等县
甲申，蜀葬文武圣德英烈明孝皇帝于和陵，庙号高祖	甲申，蜀国在和陵安葬文武圣德英烈明孝皇帝孟知祥，庙号高祖
乙酉，葬鄂王于徽陵城南，封才数尺；观者悲之	乙酉，在徽陵城南安葬鄂王李从厚，封土才有几尺高；看见的人都感到悲哀
是岁秋、冬旱，民多流亡，同、华、蒲、绛尤甚	这一年秋、冬大旱，民众许多人逃荒流亡，同州、华州、蒲州、绛州尤其严重
汉主命判六军秦王弘度募宿卫兵千人，皆市井无赖子弟，弘度昵之	南汉主刘龚命令总判六军的秦王刘弘度募集宿卫兵一千人，都是市井无赖子弟，而刘弘度却亲昵他们
同平章事杨洞潜谏曰：秦王，国之冢嫡，宜亲端士	同平章事杨洞潜向南汉主进谏说：秦王是国家的皇位继承人，应该亲近端正之士
使之治军已过矣，况昵群小乎	任用他治军已经是过失，何况他竟然亲昵成群的小人啊
汉主曰：小儿教以戎事，过烦公忧	南汉主说：不过是小儿教他们治军之事，过份劳烦您的忧虑了
终不戒弘度	最终还是没有约束刘弘度
洞潜出，见卫士掠商人金帛，商人不敢诉，叹曰：政乱如此，安用宰相	杨洞潜从宫廷出来，看见卫兵抢掠商人的财物，商人都不敢投诉，杨洞潜叹息说：政事如此混乱，还要宰相有什么用
因谢病归第；久之，不召，遂卒	因而以有病辞谢朝政回到自己宅第；很长时间，也不召他入朝，便去世了
	二年
春，正月，丙申朔，闽大赦，改元永和	春季，正月，丙申朔，闽国实行大赦，改年号为永和
二月，丙寅朔，蜀大赦	二月，丙寅朔，蜀国大赦
甲戌，以枢密使、天雄节度使兼侍中范延光为宣武节度使兼中书令	甲戌，末帝任用枢密使、天雄节度使兼侍中范延光为宣武节度使兼中书令
丁丑，夏州节度使李彝超上言疾病，以兄行军司马彝殷权知军州事；彝超寻卒	丁丑，夏州节度使李彝超上书说自己有病，让他哥哥行军司马李彝殷暂时主持军州事；李彝超不久就去世了
己丑，追尊帝母鲁国夫人魏氏曰宣宪皇太后	己丑，末帝李从珂追尊他的母亲鲁国夫人魏氏称宣宪皇太后
闽主立涉妃陈氏为皇后	闽国主王立淑妃陈氏为皇后
初，闽主两娶刘氏，皆士族，美而无宠	起初，闽主两度娶刘氏为妻，都是士族，虽然长得美丽但却不得宠爱
陈后，本闽太祖侍婢金凤也，陋而淫，闽主嬖之，以其族人守恩、匡胜为殿使	陈皇后本来是闽太祖王审知的侍婢，名叫金凤，长得丑陋而且淫荡，但闽主王溺爱她，并任用她的本家陈守恩、陈匡胜为殿使
三月，辛丑，以前宣武节度使兼侍中赵延寿为忠武节度使兼枢密使	三月，辛丑，末帝任用前宣武节度使兼侍中赵延寿为忠武节度使兼枢密使
以李彝殷为定难节度使	末帝任用李彝殷为定难节度使
己酉，赠吴越王元母陈氏为晋国太夫人	己酉，后唐朝廷封赠吴越王钱元的母亲陈氏为晋国太夫人
元性孝，尊礼母党，厚加赐与，而未尝迁官，授以重任	钱元性情孝顺，对母亲的族属很尊敬尽礼，赐赏很丰厚，但是从未给他们升官和授予重任
壬戌，以彰圣都指挥使审琦领顺化节度使	壬戌，末帝任用彰圣都指挥使安审琦领受顺化节度使
审琦，金全之子也	安审琦是安金全的儿子
吴加徐景迁同平章事、知左右军事；徐知诰令尚书郎陈觉辅之，谓觉曰：吾少时与宋子嵩论议，好相诘难，或吾舍子嵩还家，或子嵩拂衣而起	吴国加封徐景迁为同平章事、知左右军事；徐知诰命令尚书郎陈觉辅助他，并且对陈觉说：我年轻时与宋子嵩议论，喜欢相互问难，或者我停止争论放他回家，或者他拂衣而去
子嵩携衣笥望秦淮门欲去者数矣，吾常戒门者止之	子嵩收拾衣箱眼望秦淮门想离我而去的情况有过好多次了，我常常告诫守门人不要放他走
吾今老矣，犹未遍达时事，况景迁年少当国，故屈吾子以诲之耳	我现在已经年纪大了，还没有能够对时事样样通晓，何况景迁年少担当国家大事，听以委屈您老先生来教导他啊
夏，四月，庚午，蜀以御史中丞龙门毋昭裔为中书侍郎、同平章事	夏季，四月，庚午，蜀国任用御史中丞龙门人毋昭裔为中书侍郎、同平章事
癸未，加枢密使、刑部尚书韩昭胤中书侍郎、同平章事	癸未，末帝加封枢密使、刑部尚书韩昭胤中书侍郎、同平章事
辛卯，以宣徽南院使刘延皓为刑部尚书，充枢密使	辛卯，任用宣徽南院使刘延皓为刑部尚书，充任枢密使
延皓，皇后之弟也	刘延皓是刘皇后的弟弟
癸巳，以左领军卫大将军刘延朗为本卫上将军，充宣徽北院使，兼枢密副使	癸巳，任用左领军卫大将军刘延朗为本卫上将军，充任宣徽北院使，兼任枢密副使
五月，丙申，契丹寇新州及振武	五月，丙申，契丹入侵新州及振武
庚戌，赐振武节度使杨檀名光远	庚戌，末帝赐给振武节度使杨檀名字叫杨光远
六月，吴德胜节度使兼中书令柴再用卒	六月，吴国德胜节度使兼中书令柴再用去世
先是，史官王振尝询其战功，再用曰：鹰犬微效，皆社稷之灵，再用何功之有	以前，史官王振曾经询问他的战功，柴再用说：鹰犬的细小作用，都是国家社稷的灵验，再用有什么功劳
竟不报	竟然没有上报
契丹寇应州	契丹侵扰应州
河东节度使、北面总管石敬瑭既还镇，阴为自全之计	河东节度使、北面总管石敬瑭返归镇所后，暗中谋划如何保全自己
帝好咨访外事，常命端明殿学士李专美、翰林学士李崧、知制诰吕琦、薛文遇、翰林天文赵延等更直于中兴殿庭，与语或至夜分	末帝喜欢访查咨询外边的事情，常常命令端明殿学士李专美、翰林学士李崧、知制诰吕琦、薛文遇、翰林天文赵延等轮换在中兴殿庭院值班，有时候同他们谈论到深夜
时敬瑭二子为内使，曹太后则晋国长公主之母也，敬瑭赂太后左右，令伺帝之密谋，事无巨细皆知之	当时，石敬瑭的两个儿子任内使，曹太后则是石敬瑭之妻晋国长公主的母亲，石敬瑭贿赂太后的左右，让他们暗中侦查末帝的密谋，不论事情的大小他都能知道
敬瑭多于宾客前自称羸瘠不堪为帅，冀朝廷不之忌	石敬瑭常常在宾客面前自称病弱不能领兵为帅，希图朝廷不猜忌他
壬辰，诏：窃盗不计赃多少，并纵火强盗，并行极法	壬辰，末帝下诏：窃盗不论赃有多少，以及纵火强盗，都施行极刑
闽福王继鹏私于宫人李春燕，继鹏请之于陈后，后白闽主而赐之	闽国福王王继鹏与宫人李春燕私通，王继鹏请求陈皇后把李春燕赐给他，陈皇后告诉闽主王而后赏赐给他
秋，七月，以枢密使刘延皓为天雄节度使	秋季，七月，末帝任用枢密使刘延皓为天雄节度使
乙巳，以武宁节度使张敬达为北面行营副总管，将兵屯代州，以分石敬瑭之权	乙巳，末帝任用武宁节度使张敬达为北面行营副总管，领兵屯驻代州，用来分散石敬瑭的权力
帝深以时事为忧，尝从容让卢文纪等以无所规赞	末帝因为时局常常感到忧虑，曾经很平和地责备过卢文纪等，批评他们没有提供什么规劝和赞同的建议
丁巳，文纪等上言：臣等每五日起居，与两班旅见，暂获对扬，侍卫满前，虽有愚虑，不敢敷陈	丁巳，卢文纪等上奏说：臣等每五天一次来问候主上的起居，与文武两班众臣共同进见，暂时得到对答的机会，而侍从保卫人员布满在眼前，虽然对事情有所考虑，也不敢陈说
窃见前朝自上元以来，置延英殿，或宰相欲有奏论，天子欲有咨度，旁无侍卫，故人得尽言	我们想到前朝自从唐肃宗上元年间以后，设置延英殿，遇到宰相想有所论奏，或者天子要有所咨询商酌，旁边不设侍卫，所以人们能够把话都说出来
望复此故事，惟听机要之臣侍侧	希望主上也能恢复前朝的这种做法，只让机要的大臣侍候在旁边
诏以旧制五日起居，百僚俱退，宰相独升，若常事自可敷奏	末帝下诏书说：旧制施行五日问起居时，百官都退场，只有宰相单独留下来，象平常的事情仍然可以陈奏
或事应严密，不以其日，或异日听于阁门奏榜子，当尽屏侍臣，于便殿相待，何必袭延英之名也	遇到有机密的事情，不按五天的期限，或者另选日期在阁门听取奏摺子，应当让侍臣都屏退，在便殿等候进见，何必要承袭延英殿的名义呢
吴润州团练使徐知谔，狎昵小人，游燕废务，作列肆于牙城西，躬自贸易	吴国润州团练使徐知谔，亲昵狎近小人，游赏宴集，废弃正务，在牙城以西仿造排列着商肆的市场，亲自去做商沽交易
徐知诰闻之怒，召知谔左右诘责；知谔惧	徐知诰听说后发怒，找来徐知谔的随从盘问责骂他们；徐知谔很害怕
或谓知诰曰：忠武王最爱知谔，而以后事传于公	有人告诉徐知诰说：尊翁忠武王徐温在世时最喜欢知谔，然而却把后来的大业传给了你
往年知询失守，论议至今未息	前几年知询失去镇所，议论到现在还没有停息
借使知谔治有能名，训兵养民，于公何利	如果知谔治理政务有能干的名声，训练武备，休养百姓，对您有什么好处呢
知诰感悟，待之加厚	徐知诰有所领悟，对待徐知谔更加宽厚
九月，丙申，吴大赦，改元天祚	九月，丙申，吴国实行大赦，改年号为天祚
蜀金州防御使全师郁寇金州，拔水寨	蜀国任命的金州防御使全师郁攻掠金州，攻下了水寨
城中兵才千人，都监陈知隐托他事将兵三百沿流遁去；防御使马全节罄私财以给军，出奇死战，蜀兵乃退	城中的守兵只有一千人，都监陈知隐推托有别的事；带兵三百沿着汉水逃遁而去；防御使马全节把自己的全部私财都拿出来赏供军队，出奇兵死命战斗，蜀兵才退回去
戊寅，诏斩知隐	戊寅，末帝下诏斩了陈知隐
初，闽主有幸臣曰归守明，出入卧内；闽主晚年得风疾，陈后与守明及百工院使李可殷私通，国人皆恶之，莫敢言	从前，闽主王有个宠幸之臣名叫归守明，可以出入闽主的卧室；闽主晚年得了风寒伤身的疾病，陈皇后与归守明及百工院使李可殷私通，闽国人都厌恶他们，但是，不敢揭发
荆南节度使高从诲，性明达，亲礼贤士，委任梁震，以兄事之；震常谓从诲为郎君	荆南节度使高从诲，性情通达，亲近和礼敬贤士，委任梁震，把他作为兄长看待；梁震常常称呼高从诲为郎君
吴加中书令徐知诰尚父、太师、大丞相、大元帅，进封齐王，备殊礼，以、润、宣、池、歙、常、江、饶、信、海十州为齐国；知诰辞尚父、丞相，殊礼不受	吴国加封中书令徐知诰为尚父、太师、大丞相、大元帅，进封齐王，设置特殊的礼节，把、润、宣、池、歙、常、江、饶、信、海十个州划作齐国；徐知诰辞退尚父、丞相的职称，对于给他的特殊礼节也不予承受
闽皇城使、判六军诸卫李专制朝政，阴养死士，闽主昶与拱宸指挥使林延皓等图之	闽国皇城使、判六军诸卫李专权把持朝政，暗中培养亡命之徒，闽主王昶与拱辰指挥使林延皓等合谋他
延皓等诈亲附仿，仿待之不疑	林延皓等假意亲近依附于他，李对待这些人不加怀疑
十一月，壬子，仿入朝，延皓等伏卫士数百于内殿，执斩之，枭首朝门	十一月，壬子，李入朝，林延皓等在内殿，埋伏了卫士几百人，把他捉住杀了，砍下首级在朝门示众
仿部兵千余持白梃攻应天门，不克，焚启圣门，夺首奔吴越	李的部兵一千多人拿着白色棍棒进攻应天门，攻不下来，焚烧了启圣门，夺取了李的头投奔吴越
诏暴仿弑君及杀继韬等罪，告谕中外	闽主下诏宣布李弑君以及杀死王继韬等罪名，告示朝廷内外
以建王继严权判六军诸卫，以六军判官永泰叶翘为内宣徽使、参政事	闽主任用建王王继严暂领判理六军诸卫的事务，任用六军判官永泰人叶翘为内宣徽使、参政事
帝嘉马全节之功，召诣阙	后唐末帝赞扬马全节保护金州的功劳，召他进京朝见
刘延朗求赂，全节先以与之；延郎欲除全节绛州刺史，群义沸腾	刘延朗向他索求贿赂，马全节没有给他什么东西；刘延郎想任命马全节为绛州刺史，群臣不满，议论沸腾
帝闻之，乙卯，以全节为横海留后	末帝听说后，乙卯，任命马全节为横海留后
十二月，壬申，以中书侍郎、同平章事充枢密使韩昭胤同平章事，充护国节度使	十二月，壬申，末帝任用户中书侍郎、同平章事充枢密使韩昭胤同平章事，充护国节度使
乙酉，以前匡国节度使、同平章事冯道为司空	乙酉，末帝任用前匡国节度使、同平章事冯道为司空
时久无正拜三公者，朝议疑其职事；卢文纪欲令掌祭祀扫除，道闻之曰：司空扫除，职也，吾何惮焉	当时已经很久没有正式拜授为三公的人，朝廷议论中对司空的职事拿不准，卢文纪想让他掌管祭祀扫除，冯道听说后说道：司空扫除，这也算他的职责，我有什么可怕的
即而文纪自知不可，乃止	接着卢文纪自己也意识到这样做不合适，于是停止实行
闽主赐洞真先生陈守元号天师，信重之，乃至更易将相，刑罚，选举，皆与之议；守元受赂请托，言无不从，其门如市	闽主王昶赐给洞真先生陈守元以天师的称号，信任和倚重他，乃至更换将相、施行刑罚、选贤举能这样的重大事情，都同他商议；陈守元接受贿赂、请托，有求必应，门庭若市
春，正月，吴徐知诰始建大元帅府，以幕职分判吏、户、礼、兵、刑、工部及盐铁	春季，正月，吴国徐知诰开始建立大元帅府，用他的幕僚分别执掌吏、户、礼、兵、邢、工六部及盐铁
丁未，唐主立子重美为雍王	丁未，后唐末帝李从珂册立他的儿子李重美为雍王
癸丑，唐主以千春节置酒，晋国长公主上寿毕，辞归晋阳	癸丑，后唐末帝在自己的生日千春节置酒设宴，晋国长公主上寿祝贺完毕，告辞回晋阳
帝醉，曰：何不且留，遽归，欲与石郎反邪	当时末帝已经醉了，说道：为什么不多留些时候，忙着赶回去想帮助石郎造反哪
石敬瑭闻之，益惧	石敬瑭听说后，更加害怕
三月，丙午，以翰林学士、礼部侍郎马胤孙为中书侍郎、同平章事	三月，丙午，末帝任用翰林学士、礼部侍郎马胤孙为中书侍郎、同平章事
胤孙性谨懦，中书事多凝滞，又罕接宾客，时人目为三不开，谓口、印、门也	马胤孙性格谨慎懦弱，中书省办事往往凝滞不能畅达，又很少接待宾客，时人说他们是口、印、门三不开
石敬瑭尽收其货之在洛阳及诸道者归晋阳，托言以助军费，人皆知其有异志	石敬瑭把他在洛阳及诸道的财货全部收拢送回到晋阳，托词说是帮助军费，人们都知道他是心怀异志
唐主夜与近臣从容语曰：石郎于朕至亲，无可疑者；但流言不释，万一失欢，何以解之	唐主在夜间同近臣从容平淡地说：石郎是朕的至亲，没有什么可猜疑的；但是流言总是不断，万一和他失掉和好，怎么办为好
皆不对	众臣都不回答
吴徐知诰以其子副都统景通为太尉、副元帅，都统判官宋齐丘、行军司马徐为元帅府左·右司马	吴国徐知诰任用他的儿子副都统徐景通为太尉、副元帅，都统判官宋齐丘、行军司马徐为元帅府左、右司马
闽主昶改元通文，立贤妃李氏为皇后，尊皇太后曰太皇太后	闽国主王昶把年号改为通文，册立贤妃李氏为皇后，尊上皇太后称为太皇太后
静江节度使、同平章事马希杲有善政，监军裴仁煦谮之于楚王希范，言其收众心，希范疑之	静江节度使、同平章事马希杲有好的政声，监军裴仁煦向楚王马希范诽谤他，说他收买人心，马希范对他产生怀疑
夏，四月，汉将孙德威侵蒙、桂二州，希范命其弟武安节度副使希广权知军府事，自将步骑五千如桂州	夏季，四月，南汉将领孙德威侵犯蒙州和桂州，马希范命令他的弟弟武安节度副使马希广暂时主持军府事，自己带领步兵、骑兵五千人赴桂州
希杲惧，其母华夫人逆希范于全义岭，谢曰：希杲为治无状，致寇戎入境，烦殿下亲涉险阻，皆妾之罪也	马希杲害怕，他的母亲华夫人到全义岭远迎马希范，谢罪说：希杲治理政事不得法，招致敌兵入境，烦劳殿下亲自跋涉险阻之地，都是我的罪过
愿削封邑，洒扫掖庭，以赎希杲罪	我们愿意削去封邑，去当洒扫庭院的人，用来赎偿希杲的罪过
希范曰：吾久不见希杲，闻其治行尤异，故来省之，无他也	马希范说：我很久没有见到希杲，听说他治理成绩优异，所以来看看，没有别的意思
汉兵自蒙州引去，徙希杲知朗州	南汉兵从蒙州退走，便把马希杲调迁到朗州
高从诲遣使奉笺于徐知诰，劝即帝位	荆南高从诲遣派使者送信给徐知诰，劝他即皇帝之位
初，石敬瑭欲尝唐主之意，累表自陈羸疾，乞解兵柄，移他镇；帝与执政议从其请，移镇郓州	过去，石敬瑭想试探末帝的意图，多次上表陈诉身体羸弱，请求解除他的兵权，调迁到别的镇所；末帝与执政大臣商议后答应了他的请求，把他移镇郓州
房、李崧、吕琦等皆力谏，以为不可，帝犹豫久之	房、李崧、吕琦等人都极力谏劝，认为不能这样做，末帝犹疑了很长时间
辛酉，吴太保、同平章事徐景迁以疾罢，以其弟景遂代为门下侍郎、参政事	辛酉，吴国太保、同平章事徐景迁因为患病罢官，任用他的弟弟徐景遂代替他做门下侍郎、参政事
癸亥，唐主以张令昭为右千牛卫将军、权知天雄军府事	癸亥，后唐末帝任用张令昭为右千牛卫将军，暂时主持天雄军府事
令昭以调发未集，且受新命	张令昭因为调发人马没有会集，暂且接受新的任命
寻有诏徙齐州防御使，令昭托以士卒所留，实俟河东之成败	不久，又有诏书命令他调任齐州防御使，张令昭托词说被士兵所留滞，实际上是等待观察河东起兵之成败
唐主遣使谕之，令昭杀使者	后唐末帝派遣使者告谕他，张令昭把使者杀了
甲戍，以宣武节度使兼中书令范延光为天雄四面行营招讨使、知魏博行府事，以张敬达充太原四面招讨使，以杨光远为副使	甲戍，末帝任命宣武节度使兼中书令范延光为天雄四面行营招讨使、主持魏博行府事，任命张敬达充当太原四面招讨使，任用杨光远为副使
丙子，以西京留守李周为天雄军四面行营副招讨使	丙子，任命西京留守李周为天雄军四面行营副招讨使
庚寅，楚王希范自桂州北还	庚寅，楚王马希范从桂州北还
云州步军指挥使桑迁奏应州节度使尹晖逐云州节度使沙彦，收其兵应河东	云州步军指挥使桑迁上奏：应州节度使尹晖驱逐云州节度使沙彦，接收了他的兵马，响应河东造反
丁酉，彦表迁谋叛应河东，引兵围子城	丁酉，沙彦上表奏称桑迁谋反响应河东，并且率领兵马包围了子城
彦犯围走出西山，据雷公口，明日，收兵入城击乱兵，迁败走，军城复安	沙彦突破包围走出西山，占据雷公口，第二天，收集兵士入城袭击乱兵，桑迁败走，军城恢复安定
是日，尹晖执迁送洛阳，斩之	这一天，尹晖抓住桑迁把他押送洛阳，朝廷把他斩了
丁未，范延光拔魏州，斩张令昭	丁未，范延光攻取了魏州，斩杀了张令昭
诏悉诛其党七指挥	朝廷下诏：把他的党羽七个指挥都诛除了
张敬达发怀州彰圣军戍虎北口，其指挥使张万迪将五百骑奔河东，丙辰，诏尽诛其家	张敬达发动怀州彰圣军戍守在虎北口，该军指挥使张万迪带领五百骑投奔河东，丙辰，朝廷下诏：把他的家属全部诛杀
石敬瑭遣间使求救于契丹，令桑维翰草表称臣于契丹主，且请以父礼事之，约事捷之日，割卢龙一道及雁门关以北诸州与之	石敬瑭派使者从僻路求救于契丹，让桑维翰草写表章向契丹主称臣，并且请求用对待父亲的礼节来侍奉他，约定事情成功之日，划割卢龙一道及雁门关以北诸州给契丹
刘知远谏曰：称臣可矣，以父事之太过	刘知远劝谏他说：称臣就可以了，用父亲的礼节对待他就太过份了
厚以金帛赂之，自足致其兵，不必许以土田，恐异日大为中国之患，悔之无及	用丰厚的金银财宝贿赂他，自然是足以促使他发兵，不必许诺割给他土田，恐怕那样以后要成中国的大患，后悔就来不及了
敬瑭不从	石敬瑭不听
表至契丹，契丹主大喜，白其母曰：儿比梦石郎遣使来，今果然，此天意也	表章送到契丹，契丹国主耶律德光非常高兴，告诉他的母亲述律太后说：孩儿最近梦见石郎派遣使者来，现在果然来了，这真是天意啊
乃为复书，许俟仲秋倾国赴援	便向石敬瑭写了回信，答应等到仲秋时节，发动全国人马来支援他
八月，己未，以范延光为天雄节度使，李周为宣武节度使、同平章事	八月，己未，末帝任用范延光为天雄节度使，李周为宣武节度使、同平章事
癸亥，应州言契丹三千骑攻城	癸亥，应州奏报：契丹三千骑兵进攻州城
戊寅，以成德节度使董温琪为东北面副招讨使，以佐卢龙节度使赵德钧	戊寅，后唐朝廷任用成德节度使董温琪为东北面副招讨使，用来帮助卢龙节度使赵德钧
唐主使端明殿学士吕琦至河东行营犒军，杨光远谓琦曰：愿附奏陛下，幸宽宵旰	后唐主派出端明殿学士吕琦到河东行营犒劳军队，杨光远对吕琦说：请您附带奏告陛下，请主上稍微减少昼夜操劳
贼若无援，旦夕当平；若引契丹，当纵之令入，可一战破也	贼兵如果没有援兵，用不多天就可以平定；如果他勾结契丹来犯，自当放他进来，一次战斗就能把他打败
帝甚悦	末帝闻奏很是高兴
帝闻契丹许石敬瑭以仲秋赴援，屡督张敬达急攻晋阳，不能下	末帝听说契丹答应石敬瑭在仲秋时节发兵来支援他，几次督促张敬达紧急攻打晋阳，但不能攻下
每有营构，多值风雨，长围复为水潦所坏，竟不能合	每当有所营建构筑工事，往往遇到风雨天气，很长的包围工事又被水浸所破坏，竟然接合不拢
晋阳城中日窘，粮储浸乏	晋阳城中日益窘迫，粮食储备因浸泡而缺乏
九月，契丹主将五万骑，号三十万，自扬武谷而南，旌旗不绝五十馀里	九月，契丹主耶律德光统领五万骑兵，号称三十万，从代州扬武谷向南进发，旌旗连绵不断达五十余里
代州刺史张朗、忻州刺史丁审琦婴城自守，虏骑过城下，亦不诱胁	代州刺史张朗、忻州刺史丁审琦绕城自守，敌人骑兵经过城下时，也不诱降挟胁他
审琦，州人也	丁审琦是州人
冬，十月，壬戌，诏大括天下将吏及民间马；又发民为兵，每七户出征夫一人，自备铠仗，谓之义军，期以十一月俱集，命陈州刺史郎万金教以战陈，用张延朗之谋也	冬季，十月，壬戌，下诏普遍搜集天下将吏以及民间的马，又发动百姓当兵，每七户出一个征夫，自己准备铠甲兵器，称作义军，定期在十一月全部集中，命令陈州刺史郎万金训练他们的战阵知识和技能，这是采用张延朗的谋划
凡得马二千馀匹，征夫五千人，实无益于用，而民间大扰	结果只得到马二千余匹，征夫五千人，实在没有多大用处，但民间却因此受到很大骚扰
汉主以宗正卿兼工部侍郎刘浚为中书侍郎、同平章事	南汉主任用宗正卿兼工部侍郎刘浚为中书侍郎、同平章事
浚，崇望之子也	刘浚是刘崇望的儿子
十一月，以赵德钧为诸道行营都统，依前东北面行营招讨使	十一月，后唐朝廷任命赵德钧为诸道行营都统、依旧任东北面行营招讨使
以赵延寿为河东道南面行营招讨使，以翰林学士张砺为判官	任用赵延寿为河东道南面行营招讨使，任用翰林学士张砺为判官
庚寅，以范延光为河东道东南面行营招讨使，以宣武节度使、同平章事李周副之	庚寅，任用范延光为河东道东南面行营招讨使，任用宣武节度使、同平章事李周为副使
辛卯，以刘延朗为河东道南面行营招讨副使	辛卯，任用刘延朗为河东道南面行营招讨副使
赵延寿遇赵德钧于西汤，悉以兵属德钧	赵延寿在西汤遇到赵德钧，把所统兵马全部归属于赵德钧
唐主遣吕琦赐德钧敕告，且犒军	末帝派吕琦赐给赵德钧敕告，并且犒赏了军队
德钧志在并范延光军，逗留不进，诏书屡趣之，德钧乃引兵北屯团柏谷口	赵德钧的意图是要兼并范延光的军队，逗留不肯前进，朝廷屡次下达诏书催促他，赵德钧便引领部队向北屯扎在团柏谷口
癸巳，吴主诏齐王知诰置百官，以金陵府为西都	癸巳吴主杨溥下诏，使齐王徐知诰设置百官，以金陵府为西都
前坊州刺史刘景岩，延州人也，多财而喜侠，交结豪杰，家有丁夫兵仗，人服其强，势倾州县	前坊州刺史刘景岩是延州人，家财富有而且喜爱侠义，交结豪杰，家里设置丁夫兵仗，人们都慑服他的势力强大，整个州县无人能比
彰武节度使杨汉章无政，失夷、夏心，会括马及义军，汉章帅步骑数千人将赴军期，阅之于野	彰武节度使杨汉章治理无当，丧失夷、夏人心，正赶上搜集马匹和义军，杨汉章率领步兵、骑兵数千人即将按期开赴集合，正在野外进行检阅
景岩潜使人挠之曰：契丹强盛，汝曹有去无归	刘景岩暗中使人阻挠破坏此事说：契丹强盛，你们这些人有去无回
众惧，杀汉章，奉景岩为留后	兵众害怕，杀了杨汉章，拥护刘景岩为留后
唐主不获已，丁酉，以景岩为彰武留后	末帝不得已，丁酉，任命刘景岩为彰武留后
契丹主谓石敬瑭曰：吾三千里赴难，必有成功	契丹主对石敬瑭说：我从三千里以外来帮助你解决危难，必然会成功
观汝器貌识量，真中原之主也	观察你的器宇容貌和见识气量，真的是个中原的国主啊
吾欲立汝为天子	我想扶立你做天子
敬瑭辞让者数四，将吏复劝进，乃许之	石敬瑭推辞逊让了好几次，将吏又反复劝他进大位，于是便答应了
契丹主作册书，命敬瑭为大晋皇帝，自解衣冠授之，筑坛于柳林，是日，即皇帝位	契丹主制作册封的文书，命令石敬瑭为大晋皇帝，自己解下衣服冠冕亲授给他，在柳林搭筑坛台，就在这一天，即了皇帝之位
割幽、蓟、瀛、莫、涿、檀、顺、新、妫、儒、武、云、应、寰、朔、蔚十六州以与契丹，仍许岁输帛三十万匹	并割让了幽、蓟、瀛、莫、涿、檀、顺、新、妫、儒、武、云、应、寰、朔、蔚十六个州给予契丹，仍然答应每年运输帛三十万匹给他们
己亥，制改长兴七年为天福元年，大赦；敕命法制，皆遵明宗之旧	己亥，后晋高祖皇帝石敬瑭下制令，更改长兴七年为天福元年，实行大赦；敕命各种法制都遵守明宗时的旧规
以节度判官赵莹为翰林学士承旨、户部侍郎、知河东军府事，掌书记桑维翰为翰林学士、礼部侍郎、权知枢密使事，观察判官薛融为侍御史知杂事，节度推官白水窦贞固为翰林学士，军城都巡检使刘知远为侍卫马军都指挥使，客将景延广为步军都指挥使	任用节度判官赵莹为翰林学士承旨、户部侍郎、知河东军府事，掌书记桑维翰为翰林学士、礼部侍郎、权知枢密使事，观察判官薛融为侍御史知杂事，节度推官白水人窦贞固为翰林学士，军城都巡检使刘知远为侍卫马军都指挥使，客将景延广为步军都指挥使
延广，陕州人也	景延广是陕州人
立晋国长公主为皇后	立晋国长公主为皇后
龙敏谓前郑州防御使李懿曰：君，国之近亲，今社稷之危，翘足可待，君独无忧乎	龙敏对前郑州防御使李懿说：您是国主的近亲，现在社稷如此危难，跷足之间就可以灭亡，您难道唯独没有忧虑吗
懿为言赵德钧必能破敌之状	李懿为他分析赵德钧必能打败敌军的形势
敏曰：我燕人也，知德钧之为人，怯而无谋，但于守城差长耳	龙敏说：我是燕地人，知道赵德钧的为人，他胆小而又无谋略，只是对于守城稍有长处而已
况今内蓄奸谋，岂可恃乎	何况他现在内蓄奸谋，这样的人怎么能依恃呢
仆有狂策，但恐朝廷不肯为耳	在下有个冒昧的计策，只怕朝廷不肯那样干
今从驾兵尚万余人，马近五千匹，若选精骑一千，使仆与郎万金将之，自介休山路，夜冒虏骑入晋安寨，但使其半得入，则事济矣	现在随从圣驾的兵尚有万余人，马近五千匹，如果选出精锐骑兵一千人，让我和郎万金指挥他们，从介休山路出发，趁着夜间冲破贼阵而进入晋安寨，只要能有一半人进去，事情就好办了
张敬达等陷于重围，不知朝廷声问，若知大军近在团柏，虽有铁障可冲陷，况虏骑乎	张敬达等现在陷于重围之中，不知道朝廷的信息，如果他们知道大军近在团柏，那就即使有铁的屏障也可以冲破，何况虏骑的阵列啊
懿以白唐主，唐主曰：龙敏之志极壮，用之晚矣	李懿把这个意见报告了后唐主，后唐主说：龙敏的志向极为壮烈，现在用这个办法可惜晚了
丹州义军作乱，逐刺史康承询，承询奔州	丹州的义军作乱，驱逐了刺史康承询，康承询投奔州
契丹主谓帝曰：桑维翰尽忠于汝，宜以为相	契丹主对后晋高祖石敬瑭说：桑维翰对你很尽忠心，应该让他做宰相
丙寅，以赵莹为门下侍郎，桑维翰为中书侍郎，并同平章事；维翰仍权知枢密使事	丙寅，高祖任命赵莹为门下侍郎，桑维翰为中书侍郎，二人都同平章事；桑维翰仍然暂时主持枢密使的事务
以杨光远为侍卫马步军都指挥使，以刘知远为保义节度使、侍卫马步军都虞候	任命杨光远为侍卫马步军都指挥使，任命刘知远为保义节度使、侍卫马步军都虞候
