戊辰，唐王以世子建成为左元帅，秦公世民为右元帅，督诸军十余万人救东都	戊辰，唐王以世子李建成为左元帅，秦公李世民为右元帅，率领各路兵马十余万救援东都
五月，庚寅，妖贼刘定高帅众夜犯通洛门；悉捕斩之	五月，庚寅，妖贼刘定高率众乘夜进犯通洛门；有关部门将这些人全部抓获处斩
秋，八月，张说议封禅仪，请以睿宗配皇地祗；从之	秋季，八月，张说在讨论封禅仪时，请求用睿宗配享皇地祗，唐玄宗表示同意
九月，丙戌，上谓宰臣曰：《春秋》不书祥瑞，惟记有年	九月，丙戌，唐玄宗对宰臣说：《春秋》上不记载祥瑞，只是载年景
敕自今州县毋得更奏祥瑞	同时发布敕命，规定从今后以各州县不得将祥瑞上奏
辛酉，车驾发东都，百官、贵戚、四夷酋长从行	辛酉，玄宗从东都出发，文武百官、皇亲国戚和各族酋长扈从东行
每置顿，数十里中人畜被野，有司辇载供具之物，数百里不绝	车队每次打尖休息时，数十里长的大路上人畜蔽野，有关部门安排的满载各种供给用具的车辆，数百里络绎不绝
初，隋末国马皆为盗贼及戎狄所惊，唐初才得牝牡三千匹于赤岸泽，徙之陇右，命太仆张万岁掌之	当初，隋朝末年国有马匹均为盗贼以及戎狄惊走，唐朝开国之初，只在赤岸泽得到雌雄马匹共三千匹，然后将这些马匹迁徙到陇右放养，任命太仆张万岁主持养马之事
万岁善于其职，自贞观至鳞德，马蕃息及七十万匹，分为八坊、四十八监，各置使以领之	张万岁非常称职，自贞观至鳞德年间，官马不断繁殖，数目达到七十多万匹，共分设八坊、四十八监，朝廷分别委任坊、监使具体负责养马事宜
是时天下以一缣易一马	这时在市场上用一匹细绢就可以买到一匹马
垂拱以后，马潜耗太半	垂拱年间以后，官马数量逐渐减少了一半以上
上初即位，牧马有二十四万匹，以太仆卿王毛仲为内外闲厩使，少卿张景顺副之	唐玄宗即位的初期，官马总数只有二十四万匹，所以他任命太仆寺卿王毛仲为内外闲厩使，任命太仆寺少卿张景顺为他的副职
至是有马四十三万匹，牛羊称是	到这时官马数量又增加到四十三万匹，官府饲养的牛羊的数量也大致有这么多
上之东封，以牧马数万匹从，色别为群，望之如云锦	唐玄宗东至泰山封禅时，带去了数万匹牧马，根据马的毛色分为不同的马群，看上去就像是天上的彩云在移动
上嘉毛仲之功，癸巳，加毛仲开府仪同三司	唐玄宗为了嘉奖王毛仲的功劳，癸巳，特意加王毛仲开府仪同三司衔
突厥颉利发辞归，上厚赐而遣之，竟不许婚	突厥使者阿史德颉利发请求回国，唐玄宗给了他丰厚的赏赐之后送他回国，但终于还是没有答应与突厥通婚
先是，契丹王李吐干与可突干复相猜忌，携公主来奔，不敢复还，更封辽阳王，留宿卫；可突干立李尽忠之弟邵固为主	在此以前，契丹王李吐干因与可突干相互猜忌，便带着公主逃入唐朝，不敢再回契丹，玄宗将他改封为辽阳王，留在京师当天子的侍卫；可突干则立李尽忠之弟邵固为契丹王
车驾东巡，邵固诣行在，因从至泰山，拜左羽林大将军、静折军经略大使	玄宗东行封禅时，邵固也赶来觐见并随从玄宗到了泰山，玄宗任命他为左羽林大将军、静折军经略大使
上疑吏部选试不公，时选期已迫，御史中丞宇文融密奏，请分吏部为十铨	唐玄宗怀疑吏部选授官吏有失公允，当时铨选的日期已经迫近，御史中丞宇文融向玄宗秘密上奏，请求将吏部的官吏选授事务分为十铨
甲戌，以礼部尚书苏等十人掌吏部选，试判将毕，遽召入禁中决定，吏部尚书、侍郎皆不得预	甲戌，唐玄宗派礼部尚书苏等十人主持吏部铨选，在试判将要结束时，突然将这十人召进宫中论定官吏选授之事，吏部尚书和侍郎都不能参与
左庶子吴兢上表，以为：陛下曲受谗言，不信有司，非居上临人推诚感物之道	左庶子吴兢向玄宗上表，认为：陛下曲意听信谗言：不相信主管铨选工作的吏部，这不是居上位者君临天下以诚意感动人心的做法
昔陈平、邴吉，汉之宰相，尚不对钱谷之数，不问斗死之人；况大唐万乘之君，岂得下行铨选之事乎	从前陈平、邴吉是汉朝的宰相，尚且不去回答天子关于每年钱谷出入数目的提问，不去过问因斗殴而致死人命的案子，何况陛下乃大唐皇帝，怎么可以亲自下掌铨选之事呢
凡选人书判，并请委之有司，停此十铨	凡候选官员所写的字和判词，请陛下都交给吏部评阅处理，停止实施所谓十铨之法
上虽不即从，明年复故	唐玄宗虽然没有立即采纳，但在第二年时就恢复采用原来的铨选之法
是岁，东都斗米十五钱，青、齐五钱，粟三钱	在这一年，东都每斗米值十五钱，青州、齐州每斗米值五钱，每斗粟仅值三钱
于阗王尉迟眺阴结突厥及诸胡谋叛，安西副大都护杜暹发兵捕斩之，更为立王	于阗王尉迟眺暗中勾结突厥以及胡人各部阴谋反叛，安西副大都护杜暹发兵将其捕杀，又另立了一位于阗王
张说奏：今之五礼，贞观、显庆两曾修纂，前后颇有不同，其中或未折衷	张说奏道：如今的五礼，经过贞观、显庆年间两次编撰修改，前后有很多不同之处，其中有些尚有所偏颇
望与学士等讨论古今，删改施行	希望允许我和学士等人对古今的礼仪进行讨论研究，酌情对五礼作适当的增删修改，然后颂布施行
制从之	唐玄宗采纳了张说的建议
丁卯，太子太傅岐王范薨，赠谥惠文太子	丁卯，太子太傅岐王李范去世，唐玄宗赠给他惠文太子的谥号
上为之撤膳累旬，百官上表固请，然后复常	由于李范去世，唐玄宗连续撤去御膳几十天，百官上书再三恳求，才恢复常规
丁亥，太原尹张孝嵩奏，有李子峤者，自称皇子，云生于潞州，母曰赵妃	丁亥，太原尹张孝嵩向唐玄宗上书说：有个叫李子峤的人，自称是皇子，说生在潞州，母亲叫赵妃
上命杖杀之	唐玄宗命令张孝嵩用杖刑将此人打死
辛丑，于定、恒、莫、易、沧五州置军以备突厥	辛丑，朝廷在定州、恒州、莫州、易州、沧州分别建置北平军、恒阳军、唐兴军、高阳军、横海军，以防备突厥的侵犯
五月，癸卯，户部奏今岁户七百六万九千五百六十五，口四千一百四十一万九千七百一十二	五月，癸卯，户部向唐玄宗报告，今年全国共有七百零六万九千五百六十五户，共四千一百四十一万九千七百一十二人
秋，七月，河南、北大水，溺死者以千计	秋季，七月，黄河南北地区发大水，数以千计的人被淹死
八月，丙午朔，魏州言河溢	八月，丙午朔，魏州报告黄河泛滥
九月，己丑，以安西副大都护、碛西节度使杜暹同平章事	九月，己丑，唐玄宗任命安西副大都护、碛西节度使杜暹为同平章事
冬，十月，庚申，上幸汝州广成汤，己酉，还宫	冬季，十月，庚申，回皇宫
十二月，丁巳，上幸寿安，猎于方秀川；壬戌，还宫	十二月，丁巳，回皇宫
杨思勖讨反獠，生擒梁大海等三千余人，斩首二万级而还	杨思勖讨伐反叛的獠人，活捉梁大海等三千余人，斩首两万级，得胜而回
春，正月，辛丑，凉州都督王君破吐蕃于青海之西	春季，正月，辛丑，，凉州都督王君在青海西边打败了吐蕃
初，洛阳人刘宗器上言，请塞汜水旧汴口，更于荧泽引河入汴；擢宗器为左卫率府胄曹	起初，洛阳人刘宗器上书，请求堵塞汜水旧汴口，改从荧泽引黄河的水流入汴水
至是，新渠填塞不通，贬宗器为循州安怀戍主	唐玄宗提拔刘宗器任左卫率府胄曹
命将作大匠范安及发河南、怀、郑、汴、滑、卫三万人疏旧渠，旬日而毕	到这时，新渠堵塞不通，唐玄宗将刘宗器贬为循州安怀戍主；又命令将作大匠范安及征调河南、怀州、郑州、汴州、滑州、卫州三万民工疏通旧渠，用十天时间就完工了
乙卯，制：诸州逃户，先经劝农使括定按比后复有逃来者，随到准白丁例输当年租庸，有征役者先差	乙卯，唐玄宗下令：各州逃亡外地没有户籍的民户，在先前经过劝农使搜求检查核定户籍以后，再有逃到某地的，到后即按平民之例缴纳当年的租庸，如有征役先派他们
夏，五月，癸酉，上悉以诸子庆王潭等领州牧、刺史、都督、节度大使、大都护、经略使，实不出外	夏季，五月，癸酉，唐玄宗让他的儿子庆王李潭等担任州牧、刺史、都督、节度大使、大都护、经略使等职务，但实际上他们并不离京到外地去任职
上命妃嫔以下宫中育蚕，欲使之知女功	唐玄宗命令后宫妃嫔以下的人在宫中养蚕，想借此让她们懂得一些妇女应做的事
丁酉，夏至，赐贵近丝，人一	丁酉，夏至，唐玄宗赐给后宫中位尊而为天子所亲近的人每人一丝
秋，七月，戊寅，冀州河溢	秋季，七月，戊寅，冀州黄河泛滥
己卯，礼部尚书许文宪公苏薨	己卯，礼部尚书许文宪公苏去世
九月，丙子，吐蕃大将悉诺逻恭禄及烛龙莽布支攻陷瓜州，执刺史田元献及河西节度使王君之父，进攻玉门军；纵所虏僧使归凉州，谓君曰：将军常以忠勇许国，何不一战	九月，丙子，吐蕃大将悉诺逻恭禄和烛龙莽布支攻破瓜州，捉获瓜州刺史田元献和河西节度使王君的父亲，接着又进攻玉门军；还放回所俘虏的僧人，让他们返回凉州，对王君说：将军您常以忠勇报效国家，现在为什么不出城决一死战
君登城西望而泣，竟不敢出兵	王君登上城楼，向西远望而哭泣，竟然不敢出兵
初，突厥默啜之强也，迫夺铁勒之地，故回纥、契、思结、浑四部度碛徙居甘、凉之间以避之	当初，突厥默啜十分强盛，强夺铁勒的辖地，因此回纥、契、思结、浑四个部族穿越沙漠，移居到甘州和凉州之间，以躲避突厥的欺凌
王君微时，往来四部，为其所轻；及为河西节度使，以法绳之	王君未得志的时候，常往来于这四个部族之间，受到他们的轻视，等到他当了河西节度使，就利用法律惩治他们
四部耻怨，密遣使诣东都自诉	这四个部族感到耻辱怨恨，便偷偷地派使者到东都洛阳告状
君遽发驿奏四部难制，潜有叛计	王君迅速通过驿站上奏道：这四个部族难以制服，他们暗地里有叛乱的计划
上遣中使往察之，诸部竟不得直	唐玄宗派宦官调查，这几个部族蒙受的冤屈竟不能平反
于是瀚海大都督回纥承宗流州，浑大德流吉州，贺兰都督契承明流藤州，卢山都督思结归国流琼州；以回纥伏帝难为瀚海大都督	结果，瀚海大都督回纥人承宗被流放到州，浑人大德被流放到吉州，贺兰都督契人承明被流放到藤州，卢山都督思结人归国被流放到琼州；唐玄宗任命回纥人伏帝难为瀚海大都督
己卯，贬右散骑常侍李令问为抚州别驾，坐其子与承宗交游故也	己卯，将右散骑常侍李令问降职为抚州别驾，其原因是他儿子与回纥人承宗有交往
丙戌，突厥毗伽可汗遣其大臣梅录啜入贡	丙戌，突厥毗伽可汗派大臣梅录啜入朝进贡
吐蕃之寇瓜州也，遗毗伽书，欲与之俱入寇，毗伽并献其书	吐蕃侵犯瓜州时，给毗伽送信，想与突厥一起侵犯唐朝，毗伽将这封信献给了唐玄宗
上嘉之，听于西受降城为互市，每岁赍缣帛数十万匹就市戎马，以助军旅，且为监牧之种，由是国马益壮焉	唐玄宗嘉奖了他，并允许突厥在西受降城与唐朝做买卖，唐朝每年派人携带几十万匹丝绸到西受降城和他们交换战马，以增加唐军的战斗力，并且作为国家监牧的种马，从此以后中国马越来越强壮了
闰月，庚子，吐蕃赞普与突骑施苏禄围安西城，安西副大都护赵颐贞击破之	闰九月，庚子，吐蕃赞普和突骑施苏禄率领军队围攻安西城，安西副大都护赵颐贞打败了他们
回纥承宗族子瀚海司马护输，纠合党众为承宗报仇	回纥承宗的同族兄弟之子瀚海司马护输，纠集亲族部下要为承宗报仇
会吐蕃遣使间道诣突厥，王君帅精骑邀之于肃州	适逢吐蕃派使者走小道前往突厥，王君带领精锐的骑兵在肃州拦截他，返回途中，来到甘州南巩笔驿时，护输的伏兵突然冲出来，抢走了王君的节度使旌节，先杀死了王君的判官宋贞，挖出他的心脏说：最早搞阴谋的就是你
还，至甘州南巩笔驿，护输伏兵突起，夺君旌节，先杀其判官宋贞，剖其心曰：始谋者汝也	王君带领几十个部下奋力拼杀，从早晨一直战到下午，手下的人全部战死
君帅左右数十人力战，自朝至晡，左右尽死	护输杀死了王君，用马车载着他的尸体投奔吐蕃
护输杀君，载其尸奔吐蕃；凉州兵追及之，护输弃尸而走	凉州的唐军闻讯追上了他，护输丢下王君的的尸体逃走
庚申，车驾发东都，冬，己卯，至西京	庚申，回到西京长安
辛巳，以左金吾卫大将军信安王为朔方节度等副大使	辛巳，唐玄宗任命左金吾卫大将军信安王李为朔方节度等副大使
，恪之孙也	李是李恪的孙子
以朔方节度使萧嵩为河西节度等副大使	任命朔方节度使萧嵩为河西节度等副大使
时王君新败，河、陇震骇	此时王君刚刚败死，整个河西、陇右地区非常震惊
嵩引刑部员外郎裴宽为判官，与君判官牛仙客俱掌军政，人心浸安	萧嵩举荐刑部员外郎裴宽任判官，与王君的判官牛仙客一起掌管军政，人心才渐渐安定下来
宽，之从弟也	裴宽是裴的堂弟
仙客本鹑觚小吏，以才干军功累迁至河西节度判官，为君腹心	牛仙客原是泾州鹑觚县的小吏，依靠才干军功，经过多次升迁当上了河西节度判官，成为王君的亲信
乙亥，上幸骊山温泉；丙戌，还宫	乙亥，回到皇宫
	十六年
春，正月，壬寅，安西副大都护赵颐贞败吐蕃于曲子城	春季，正月，壬寅，安西副大都护赵颐贞在曲子城打败了吐蕃军队
甲寅，以魏州刺史宇文融为户部侍郎兼魏州刺史，充河北道宣抚使	甲寅唐玄宗任命魏州刺史宇文融为户部侍郎兼魏州刺史，充任河北道宣抚使
二月，壬申，以尚书右丞相致仕张说兼集贤殿学士	二月，壬申，唐玄宗任命以尚书右丞相退休的张说兼集贤殿学士
说虽罢政事，专文史之任，朝廷每有大事，上常遣中使访之	张说虽然被停止参与政事，专门负责文史的研究，但每当朝廷遇上重大事情，唐玄宗常常派中使去询问他的意见
壬辰，改骑为左右羽林军飞骑	壬辰，唐玄宗将骑改为左右羽林军飞骑
秋，七月，吐蕃大将悉末朗寇瓜州，都督张守击走之	秋季，七月，吐蕃大将悉末郎进犯瓜州，都督张守打退了他们
乙巳，河西节度使萧嵩、陇右节度使张忠亮大破吐蕃于渴波谷；忠亮追之，拔其大莫门城，擒获甚众，焚其骆驼桥而还	乙巳，河西节度使萧嵩和陇右节度使张忠亮在渴波谷把吐蕃军队打得大败，张忠亮乘胜追击，攻取了大莫门城，抓获很多俘虏，烧毁该地的骆驼桥后回师
八月，乙巳，特进张说上《开元大衍历》，行之	八月，乙巳，特进张说献上了《开元大衍历》，唐玄宗命令推行该历
辛卯，左金吾将军杜宾客破吐蕃于祁连城下	辛卯，左金吾将军杜宾客在祁连城下打败了吐蕃军队
时吐蕃复入寇，萧嵩遣宾客将强弩四千击之	当时，吐蕃再次入侵，萧嵩派杜宾客带领四千名强弩手去迎击
战自辰至暮，吐蕃大溃，获其大将一人；虏散走投山，哭声四合	战斗从早晨一直打到傍晚，吐蕃军队大败，唐军俘获其一名大将，敌人散乱地逃进山中，哭喊声四处回荡
冬，十月，己卯，上幸骊山温泉；己丑，还宫	冬季，十月，己卯，返回皇宫
十一月，癸巳，以河西节度副大使萧嵩为兵部尚书、同平章事	十一月，癸巳，唐玄宗任命河西节度副大使萧嵩为兵部尚书、同平章事
是岁，制户籍三岁一定，分为九等	这一年，唐玄宗下令，规定户籍三年核定一次，共分为九等
春，二月，丁卯，州都督张守素破西南蛮，拔昆明及盐城，杀获万人	春季，二月，丁卯，州都督张守素打败西南蛮，攻下昆明和盐城，杀死抓获敌人共达一万人
三月，瓜州都督张守、沙州刺史贾师顺击吐蕃大同军，大破之	三月，瓜州都督张守和沙州刺史贾师顺进攻吐蕃大同军，将他们打得大败
夏，四月，庚午，于太庙	夏季，四月，庚午，唐玄宗在太庙祭祖先
唐初，则序昭穆，则各祀于其室	唐朝初期，皇帝在太庙祭时是集合远近祖先的神主按左昭右穆的次序排列进行合祭的，祭则各在太庙中列位祖先的神主所居的殿室里进行
至是，太常少卿韦等奏如此，与常飨不异；请皆序昭穆	至此时，太常少卿韦等人奏称：这样做，祭与平常的祭祀没有两样，请批准祭也像祭那样进行合祭
从之	唐玄宗依从了他们的建议
，安石之兄子也	韦是韦安石哥哥的儿子
五月，壬辰，复置十道及京、都两畿按察使	五月，壬辰，唐玄宗再次设置十道按察使及京、都两畿按察使
初，张说、张嘉贞、李元、杜暹相继为相用事，源乾曜以清谨自守，常让事于说等，唯诺署名而已	当初，张说、张嘉贞、李元、杜暹相继担任宰相执掌朝政，源乾曜为人清廉谨慎，常常把事情让给张说等人去决定，自己只是唯唯诺诺签名同意而已
元、暹议事多异同，遂有隙，更相奏列	李元、杜暹商议事情意见经常不同，于是就有了矛盾
上不悦，六月，甲戌，贬黄门侍郎、同平章事杜暹荆州长史，中书侍郎、同平章事李元曹州刺史，罢乾曜兼侍中，止为左丞相；以户部侍郎宇文融为黄门侍郎，兵部侍郎裴光庭为中书侍郎，并同平章事；萧嵩兼中书令，遥领河西	他们轮流在唐玄宗面前说对方的不是，唐玄宗对此很不高兴，六月，甲戌，将黄门侍郎、同平章事杜暹降职为荆州长史，中书侍郎、同平章事李元降职为曹州刺史，罢免了源乾曜兼任的侍中，让他只担任左丞相；任命户部侍郎宇文融为黄门侍郎，兵部侍郎裴光庭为中书侍郎，一并任同平章事；任命萧嵩为中书令，让他遥遥兼任河西节度使
八月，癸亥，上以生日宴百官于花萼楼下	八月，癸亥，唐玄宗为庆贺自己的生日，在花萼楼下宴请百官
左丞相乾曜、右丞相说帅百官上表，请以每岁八月五日为千秋节，布于天下，咸令宴乐	左丞相源乾曜、右丞相张说率领百官呈上表章，请唐玄宗将每年八月五日定为千秋节，公布于全国，让老百姓都摆宴同乐
寻又移社就千秋节	不久，唐玄宗又下令将祭祀土地神的日子移到千秋节
辛巳，敕以人间多盗铸钱，始禁私卖铜铅锡及以铜为器皿；其采铜铅锡者，官为市取	辛巳，唐玄宗下令，由于民间多偷着铸造钱币，从现在开始禁止私自出卖铜铅锡以及用铜制造器皿；开采的铜铅锡，由官方收购
冬，十月，戊午朔，日有食之，不尽如钩	冬季，十月，戊午朔，出现日食，没有全食，形如镰刀
十一月，辛卯，上行谒桥、定、献、昭、乾五陵；戊申，还宫；赦天下，百姓今年地税悉蠲其半	十一月，辛卯，回到皇宫，大赦天下，规定百姓今年的地税都免去一半
十二月，辛酉，上幸新丰温泉；壬申，还宫	十二月，辛酉，回到皇宫
春，正月，辛卯，以裴光庭为侍中	春季，正月，辛卯，唐玄宗任命裴光庭为侍中
二月，癸酉，初令百官于春月旬休，选胜行乐，自宰相至员外郎，凡十二筵，各赐钱五千缗；上或御花萼楼邀其归骑留饮，迭使起舞，尽欢而去	二月，癸酉，唐玄宗开始让百官在春月每十天休息一天，让他们选择风景胜地游玩并设宴行乐，从宰相到员外郎，共设十二张筵席，每席赐给五千缗钱，唐玄宗有时在花萼楼邀请春游归来的官员留下来饮酒，轮流让他们起舞，大家尽情欢乐一番才离去
三月，丁酉，复给京官职田	三月，丁酉，唐玄宗重新把职分田发给京官
夏，四月，丁卯，筑西京外郭，九旬而毕	夏季，四月，丁卯，朝廷修筑西京长安的外城，花了九十天时间工程才完成
壬午，洛水泛滥，淹没东都洛阳一千余户人家	秋，九月，丁巳，以忠王浚兼河东道元帅，然竟不行
庚寅，回到长安	甲寅，护密王罗真檀入朝，留宿卫
甲寅，护密王罗真檀入朝，唐玄宗将他留下充当侍卫	十一月，丁卯，上幸骊山温泉，丁丑，还宫
十一月，丁卯，回到皇宫	是岁，天下奏死罪止二十四人
丙子，唐玄宗亲自在兴庆宫旁耕田，耕了方圆三百步	三月，突厥左贤王阙特勒卒，赐书吊之
三月，突厥左贤王阙特勒去世，唐玄宗送书信吊唁他	丙申，初令两京诸州各置太公庙，以张良配享，选古名将，以备十哲；以二、八月上戊致祭，如孔子礼
丙申，唐玄宗第一次命令两京及各州分别设立太公庙，以汉张良配享，还挑选了一些古代名将，以配齐十位先哲之数；每年二月、八月的第一个戊日进行祭礼，与祭祀孔子的礼仪一样	五月，壬戌，初立五岳真君祠
五月，壬戌，开始建立五岳真君祠	秋，九月，辛未，吐蕃遣其相论尚它入见，请于赤岭为互市；许之
秋季，九月，辛未，吐蕃派丞相论尚它入朝拜见唐玄宗，请求在赤岭设立集市进行贸易往来，唐玄宗同意了他的要求	冬，十月，丙申，上幸东都
疏通流经禁苑的洛水，六十天完工	春，正月，乙卯，以朔方节度副大使信安王为河东、河北行军副大总管，将兵击奚、契丹；壬申，以户部侍郎裴耀卿为副总管
春季，正月，乙卯，任命户部侍郎裴耀卿为副总管	二月，癸酉朔，日有食之
唐玄宗命裴光庭、萧嵩分别主管左、右厢兵	八月，辛未朔，日有食之
冬季，十月，壬午，回到西京长安	是岁，以幽州节度使兼河北采访处置使增领卫、相、洛、贝、冀、魏、深、赵、恒、定、邢、德、博、棣、营、十六州及安东都护府
这一年，唐玄宗让幽州节度使兼任河北采访处置使，并将卫州、相州、洛州、贝州、冀州、魏州、深州、赵州、恒州、定州、邢州、德州、博州、棣州、营州、州等十六个州及安东都护府划归幽州节度使统辖	天下户七百八十六万一千二百三十六，口西千五百四十三万一千二百六十五
全国共有七百八十六万一千二百三十六户，四千五百四十三万一千二百六十五人	春，正月，乙巳，肃明皇后于太庙，毁仪坤庙
春季，正月，乙巳，将睿宗肃明皇后的神主迁入太庙受祭，拆毁了仪坤庙	丁巳，上幸骊山温泉
秋季，七月，乙丑朔，出现日食	九月，壬午，立皇子沔为信王，为义王，为陈王，澄为丰王，为恒王，为梁王，滔为汴王
冬季，十月，庚戌，返回皇宫	戊子，左丞相宋致仕，归东都
春季，闰正月，丁卯，唐朝封皇子李成美为恒王，李隆基为楚王，李隆范为卫王，李隆业为赵王	二月，丙辰，突厥骨笃禄等寇昌平，命左鹰扬大将军黑齿常之帅诸军讨之
二月，丙辰，突厥阿史那骨笃禄等侵扰昌平，唐朝命令左鹰扬大将军黑齿常之率领诸军讨伐他们	三月，乙丑，纳言韦思谦以太中大夫致仕
九月，己卯，虢州人杨初成伪称郎将，假传太后命令在都邑招募人去房州迎接庐陵王；事情败露后，被处死	冬，十月，庚子，右监门卫中郎将爨宝璧与突厥骨笃禄、元珍战，全军皆没，宝璧轻骑遁归
冬季，十月，庚子，右监门卫中郎将爨宝璧与突厥阿史那骨笃禄、阿史德元珍交战，全军覆没，爨宝璧轻装乘马逃回	命魏玄同留守西京
六月，丁亥朔，出现日食	壬寅，作神皇三玺
五月，丙辰，唐朝任命文昌右相韦待价为安息道行军大总管，以进攻吐蕃	浪穹州蛮酋傍时昔等二十五部，先附吐蕃，至是来降；以傍时昔为浪穹州刺史，令统其众
己巳，唐朝任命和尚怀义为新平军大总管，北伐突厥	诸王之起兵也，贝州刺史纪王慎独不预谋，亦坐系狱；秋七月，丁巳，槛车徙巴州，更姓虺氏，行及蒲州而卒
进军到紫河，没有遇见突厥人，在单于台刻石纪功而回	八男徐州刺史东平王续等，相继被诛，家徙岭南
丁卯，春官尚书范履冰、凤阁侍郎邢文伟都任同平章事	己卯，诏太穆神皇后、文德圣皇后宜配皇地祗，忠孝太后从配
十一月，庚辰朔，冬至，太后祭万象神宫，大赦天下	凤阁侍郎河东宗秦客，改造天地等十二字以献，丁亥，行之
开始用周历，改永昌元年十一月为载初元年正月，以十二月为腊月，夏历正月为一月	太后自名，改诏曰制
封周朝、汉朝王室的后代为二王后，舜、禹、成汤的后代为三恪，北周、隋朝皇帝的后代享受封国的待遇	秦客，太后从父姊之子也
乙未，司刑少卿周兴奏请废除唐朝帝室亲属的家族名册	腊月，辛未，以僧怀义为右卫大将军，赐爵鄂国公
春季，一月，戊子，武承嗣升任文昌左相，岑长倩升任文昌右相、同凤阁鸾台三品，凤阁侍郎武攸宁为纳言，邢文伟守内史，左肃政大夫、同凤阁鸾台三品王本立罢除相职，改任地官尚书	二月，辛酉，太后策贡士于洛城殿
武攸宁是武士哥哥的孙子	贡士殿试自此始
丁卯，地官尚书王本立去世	三月，丁亥，特进、同凤阁鸾台三品苏良嗣薨
三月，丁亥，特进、同凤阁鸾台三品苏良嗣去世	夏，四月，丁巳，春官尚书、同平章事范履冰坐尝举犯逆者下狱死
冬季，十月，甲子，检校内史宗秦客因贪赃获罪，降职为遵化县尉，他弟弟宗楚客也因非法获取财物被流放岭外	丁卯，杀流人韦方质
壬申，太后命令两京和各州分别修建大云寺一座，收藏《大云经》，让和尚升座讲解，为《大云经》撰写注疏的和尚云宣等九人都赐爵县公，还赐给他们紫袈裟、银龟袋	制天下武氏咸蠲课役
正月，癸酉朔，太后首次在万象神宫接受尊号，旗帜崇尚赤色	御史中丞知大夫事李嗣真以酷吏纵横，上疏，以为：今告事纷纭，虚多实少，恐有凶匿阴谋离间陛下君臣
甲戌，改为在神都洛阳设立社稷坛	古者狱成，公卿参听，王必三宥，然后行刑
辛巳，安置武氏神主于太庙；唐在长安的太庙改名为享德庙	比日狱官单车奉使，推鞫既定，法家依断，不令重推；或临时专决，不复闻奏
四季只祭祀高祖以下三庙，其余宣帝、元帝、光帝、景帝四室都关闭不复祭祀	如此，则权由臣下，非审慎之法，傥有冤滥，何由可知
又改长安崇先庙为崇尊庙	况以九品之官专命推覆，操杀生之柄，窃人主之威，按覆既不在秋官，省审复不由门下，国之利器，轻以假人，恐为社稷之祸
乙酉，冬至，太后合祭于明堂，祭昊天上帝，百神陪从受祭，武氏祖宗配享，唐朝三位已故皇帝也一同配享	太后不听
侍御史来子诬告尚衣奉御刘行感兄弟谋反，兄弟二人都因此被处死	春，一月，地官尚书武思文及朝集使二千八百人，表请封中岳
春季，一月，地官尚书武思文和朝集使二千八百人，上表请求封中岳嵩山	己亥，废唐兴宁、永康、隐陵署官，唯量置守户
己亥，废除唐朝兴宁陵、永康陵、隐陵的官署和官员，只酌量设置守陵户	左金吾大将军丘神以罪诛
朝廷改封左卫大将军千乘王武攸暨为定王	立故太子贤之子光顺为义丰王
朝廷立原太子李贤的儿子李光顺为义丰王	甲子，太后命始祖墓曰德陵，睿祖墓曰乔陵，严祖墓曰节陵，肃祖墓曰简陵，烈祖墓曰靖陵，显祖墓曰永陵，改章德陵为昊陵，显义陵为顺陵
甲子，太后下令称始祖墓为德陵，睿祖墓为乔陵，严祖墓为节陵，肃祖墓为简陵，烈祖墓为靖陵，显祖墓为永陵，改章德陵为昊陵，显义陵为顺陵	追复李君羡官爵
朝廷追复李君羡的官职爵位	夏，四月，壬寅朔，日有食之
夏季，四月，壬寅朔，出现日食	癸卯，制以释教开革命之阶，升于道教之上
癸卯，太后下令，因佛教为朝代的改换开辟阶梯，把它的地位提高到道教之上	命建安王攸宜留守长安
朝廷命令建安王武攸宜留守长安	丙辰，铸大钟，置北阙
丙辰，朝廷铸大钟，放置在宫殿北门外的阙楼上	五月，以岑长倩为武威道行军大总管，击吐蕃，中道召还，军竟不出
秋季，七月，朝廷迁移关中地区数十万户充实洛阳	八月，戊申，纳言武攸宁罢为左羽林大将军；夏官尚书欧阳通为司礼卿兼判纳言事
庚申，朝廷杀玉钤卫大将军张虔勖	义丰王光顺、嗣雍王守礼、永安王守义、长信县主等皆赐姓武氏，与睿宗诸子皆幽闭宫中，不出门庭者十余年
来俊臣审讯张虔勖案件，张虔勖自己向徐有功申诉；来俊臣大怒，命令卫士乱刀砍死他，悬挂脑袋在闹市示众	守礼、守义，光顺之弟也
壬辰，朝廷杀鸾台侍郎、同平章事乐思晦和右卫将军李安静	太学生王循之上表，乞假还乡；太后许之
李安静是李纲的孙子	狄仁杰曰：臣闻君人者唯杀生之柄不假人，自余皆归之有司
太后准备称帝，王公、百官都上表劝进，只有李安静严正地拒绝	故左、右丞，徒以下不句；左、右相，流以上乃判，为其渐贵故也
及至他被关入太后的特别监狱，来俊臣责问他谋反的情况，李安静说：因我是唐家老臣，要杀就杀	彼学生求假，丞、簿事耳，若天子为之发敕，则天下之事几敕可尽乎
若问谋反，实在无可奉告	必欲不违其愿，请普为立制而已
来俊臣终于将他处死	太后善之
正月，戊辰朔，太后在万象神宫祭祀	腊月，立故于阗王尉达伏雄之子瑕为于阗王
