春正月，初置骥厩丞，领受郡国调马	春季，正月，首次设立骥厩丞，负责接收和饲养从各郡、国征发来的马匹
弘，跋之弟也	冯弘是冯跋的弟弟
九月，谯纵称藩于秦	九月，谯纵向后秦请求归降，成为藩属国
秃发檀将五万余人伐沮渠蒙逊，蒙逊与战于均石，大破之	南凉王秃发檀带领五万多人讨伐北凉王沮渠蒙逊，沮渠蒙逊与他在均石展开激战，将他打得大败
蒙逊进攻西郡太守杨统于日勒，降之	沮渠蒙逊又在日勒进攻西郡太守杨统，迫使杨统投降
魏主还平城	北魏国主拓跋返回平城
十二月，戊子，武冈文恭侯王谧网	十二月，戊子，东晋扬州刺史、武冈文恭侯王谧去世
是岁，西凉公以前表未报，复遣沙门法泉间行奉表诣建康	这一年，西凉公李因为上次呈送给东晋的奏表没有得到答复，又再次派遣和尚法泉带奏章，抄小路前往建康，拜谒东晋朝廷
春，正月，甲辰，以琅邪王德文领司徒	春季，正月，甲辰，东晋任命琅邪王司马德文兼司徒职务
庚申，武陵忠敬王遵薨	庚申，东晋武陵忠敬王司马遵去世
魏主如豺山宫，遂至宁川	北魏国主拓跋来到豺山宫，又到宁川
南燕主超尊其母段氏为皇太后，妻呼延氏为皇后	南燕国主慕容超尊奉他的母亲段氏为皇太后，封他的妻子呼延氏为皇后
超祀南郊，有兽如鼠而赤，大如马，来至坛侧	慕容超到南郊祭祀上天，有一种野兽，样子像老鼠一样，红毛，像马一般大，来到祭坛的旁边
须臾，大风昼晦，羽仪帷幄皆毁裂	一会儿，狂风骤起，天色昏暗，王室仪仗的羽饰帘帐全部被吹毁
超惧，以问太史令成公绥，对曰：陛下信用奸佞，诛戮贤良，赋敛繁多，事役殷重之所致也	慕容超非常恐惧，问太史令成公绥这是怎么回事，成公绥回答说：这是陛下宠信重用奸佞的小人，诛杀屠戮俊贤良才，赋税繁重，过分劳役百姓所导致
超乃大赦，黜公孙五楼等，俄而复用之	慕容超于是下令大赦，罢免了公孙五楼等人，但不久又再次任用了他
北燕王云立妻李氏为皇后，子彭城为太子	北燕王高云册立他的妻子李氏为皇后，立他的儿子高彭城为太子
北燕大赦	北燕实行大赦
司马叔自蕃城寇邹山，鲁郡太守徐邕弃城走，车骑长史刘钟击却之	东晋叛将军司马叔从蕃城进犯邹山，鲁郡太守徐邕放弃城池逃走，车骑长史刘钟迎击，并把他打退
北燕王云封慕容归为辽东公，使主燕祀	北燕王高云封慕容归为辽东公，让他主管燕帝室宗庙的祭祀工作
乞伏炽磐以秦政浸衰，且畏秦之攻袭，冬，十月，招结诸部二万余人筑城于山而据之	后秦河州刺史乞伏炽磐，认为后秦的政权越来越衰退，而且又害怕后秦前来进攻，冬季，十月，征召集结各部落的二万多人在山修城池进行据守
南燕汝水竭，河冻皆合，而渑水不冰	南燕汝水枯竭
南燕主超恶之，问于李宣，对曰：渑水无冰，良由逼带京城，近日月也	所有的河水全部结冻、冰封，而只有渑水没有结冰，南燕国主慕容超心里对此非常忌讳，向李宣询问这是怎么回事，李宣回答说：渑水没有冻冰，主要是因为它流经都城，跟日月靠得很近的缘故
超大悦，赐朝服一具	慕容超听后非常高兴，赐给李宣一套官服
十二月，乞伏炽磐攻彭奚念于罕，为奚念所败而还	十二月，后秦河州刺史乞伏炽磐在罕进攻叛将彭奚念，被彭奚念打败，撤回
是岁，魏主杀高邑公莫题	这一年，北魏国主拓跋诛杀高邑公莫题
初，拓跋窟咄之伐也，题以年少，潜以箭遗窟	当初，拓跋
辛卯，大赦	辛卯，东晋实行大赦
庚戌，以刘毅为卫将军、开府仪同三司	庚戌，东晋任命刘毅为卫将军、开府仪同三司
毅爱才好士，当世名流莫不辐凑，独扬州主簿吴郡张不往	刘毅爱好人才，喜欢读书人，所以，当时的知名人士几乎没有不聚集到他身边去的，惟独只有扬州主簿吴郡人张邵不去
或问之，曰：主公命世人杰，何烦多问	有人问他为什么，张邵说：我的主公刘裕是应运而生的人中豪杰，哪里还用多问
秦王兴遣使册拜谯纵为大都督、相国、蜀王，加九锡，承制封拜，悉如王者之仪	后秦王姚兴派遣使节前去册封谯纵为大都督、相国、蜀王，加授九锡，并可奉制书直接任命官员、封赏爵位，所用礼仪全部与君王一样
二月，南燕将慕容兴宗、斛谷提、公孙归等帅骑寇宿豫，拔之，大掠而去，简男女二千五百付太乐教之	二月，南燕将领慕容兴宗、斛谷提、公孙归等人率领骑兵进犯并攻克东晋的宿豫，大肆抢掠一番之后，便回去了，挑选俘虏的男女青年二千五百人，交付给管理王室音乐的机构，教习训练
归，五楼之兄也	公孙归是公孙五楼的哥哥
是时，五楼为侍中、尚书、领左卫将军，专总朝政，宗亲并居显要，王公内外无不惮之	这时，公孙五楼任侍中、尚书、领左卫将军，在朝中专权，总揽国家的一切政务，他的宗族亲属也都在朝廷官居显要位置，王公大臣、朝廷内外，对他没有不忌惮害怕的
南燕主超论宿豫之功，封斛谷提等并为郡、县公	南燕国主慕容超评定宿豫之战的功劳，封斛谷提等人为郡公、县公
桂林王镇谏曰：此数人者，勤民顿兵，为国结怨，何功而封	桂林王慕容镇劝阻说：这几个人，劳师动众，为国家结下仇怨，有什么功劳可封
超怒，不答	慕容超大怒，不予回答
尚书都令史王俨谄事五楼，比岁屡迁，官至左丞	尚书都令史王俨谄媚巴结公孙五楼，几年来屡次升迁，官职到了左丞
国人为之语曰：欲得侯，事五楼	所以当时百姓根据这些编了句歌谣：要想封侯，巴结五楼
超又遣公孙归等寇济南，俘男女千馀人而去	慕容超又派公孙归等侵犯济南，俘获了男女一千多人回去
自彭城以南，民皆堡聚以自固	因此，从彭城往南，东晋居民全都修筑城堡聚居一起，进行自卫
诏并州刺史刘道怜镇淮阴以备之	朝廷下诏，命并州刺史刘道怜镇守淮阴，用来戒备南燕骚扰
恒山崩	恒山出现山崩
夏，四月，乞伏乾归如罕，留世子炽磐镇之，收其众得二万，徙都度坚山	夏季，四月，后秦镇远将军乞伏乾归从苑川来到罕，留下嫡长子乞伏炽磐镇守那里，收集自己的部众共二万，把都城迁到度坚山
夏王勃勃率骑兵二万攻秦，掠取平凉杂胡七千余户，进屯依力川	夏王刘勃勃率领骑兵二万人进攻后秦，抢掠了平凉地区杂居的胡族七千多户，开进到依力川屯聚
乞伏乾归复即秦王位，大赦，改元更始，公卿以下皆复本位	后秦镇远将军乞伏乾归重新登上秦王之位，下令大赦，改年号为更始，公卿以下的官员，全部恢复以前的职位
慕容氏在魏者百馀家，谋逃去，魏主尽杀之	慕容氏家族，在北魏有一百多户，他们计划逃走，被北魏国主拓跋全部杀掉了
初，魏太尉穆崇与卫王仪伏甲谋弑魏主，不果；惜崇、仪之功，秘而不问	当初，北魏太尉穆崇与卫王拓跋仪，布下埋伏全副武装的兵士，阴谋刺杀北魏国主拓跋，没有成功
及有疾，杀大臣	拓跋惋惜穆崇、拓跋仪过去的赫赫战功，把此事压下，没有追查
仪自疑而出亡，追获之	到了拓跋有病之后，杀了许多大臣，拓跋仪担心自己难逃一死，逃亡外地，被追上抓获
八月，赐仪死	八月，命令拓跋仪自杀
封融诣刘裕降	南燕故臣、后来投奔北魏的封融，前去拜见刘裕，投降
十二月，乙巳，太白犯虚、危	十二月，乙巳，金星侵犯虚宿和危宿
南燕灵台令张光劝南燕主超出降，超手杀之	南燕灵台令张光劝南燕主慕容超出城投降，慕容超亲手把他杀了
柔然侵魏	柔然侵略北魏
魏长孙嵩将兵伐柔然	北魏长孙嵩领兵前去讨伐柔然
魏主嗣以群县豪右多为民患，悉以优诏征之	北魏国主拓跋嗣因为郡县之中的土豪劣绅大多数都是百姓的祸患，所以，便用措辞缓和的诏书征召他们全部来京
民恋土不乐内徙，长吏逼遣之，于是无赖少年逃亡相聚，所在寇盗群起	这些豪民留恋故土，不愿迁往都城，而郡县的官吏又逼迫他们前来，于是，有一些无赖的年轻人便逃出家乡聚在一起，因此，到处强盗、贼寇蜂起
嗣引八公议之曰：朕欲为民除蠹，而守宰不能绥抚，使之纷乱	拓跋嗣召见八公议论这件事说：我打算为民除害，但地方官吏却不能对他们平安抚慰，所以，反倒迫使他们纷纷起来叛乱
今犯者既众，不可尽诛，吾欲大赦以安之，何如	现在，犯法的人既然已经很多，又不能把他们全杀掉，因此，我想下令大赦，以此使他们安心，怎么样
元城侯屈曰：民逃亡为盗，不罪而赦之，是为上者反求于下也，不如诛其首恶，赦其馀党	元城侯拓跋屈说：百姓逃亡出去做了强盗，不治他们罪反而赦免，这是在上的人反过来求在下的人了，不如杀了他们为首作恶的，把那些党羽赦免
崔宏曰：圣王之御民，务在安之而已，不与之较胜负也	崔宏说：圣上统御人民，目的就是要让他们安定，不是要和他们比赛谁胜谁负
夫赦虽非正，可以行权	因此大赦虽然不是最好的办法，却可以通达权变
屈欲先诛后赦，要为两不能去，曷若一赦而遂定乎	拓跋屈打算先杀后赦，关键在于两个步骤缺一不可，哪里比得上大赦一次就把他们平定了呢
赦而不从，诛未晚也	大赦之后，如果有人不从，再杀也不晚哪
嗣从之	拓跋嗣接受他的意见
二月，癸未朔，遣将军于栗将骑一万讨不从命者，所向皆平	二月，癸未朔，派遣将军于栗带领骑兵一万人讨伐不听从大赦命令，仍然叛乱的人，所到之处，全部平定
南燕贺赖卢、公孙五楼为地道出击晋兵，不能却	南燕贺赖卢、公孙五楼挖了一条地道出来袭击东晋部队，却不能把他们击退
城久闭，城中男女病脚弱者太半，出降者相继	广固城门关闭太久，城中男女百姓患软脚病的人超过一半，因此出城投降的人一个接着一个
超辇而登城，尚书悦寿说超曰：今天助寇为虐，战士凋瘁，独守穷城，绝望外援，天时人事亦可知矣	慕容超乘辇车登上城墙，尚书悦寿劝说慕容超道：现在，上天帮助强盗制造罪恶，我们的将士疲惫凋零，单独困守这一座穷破的城池，外援已经毫无希望，天时和人心的倾向也是可以想见的
苟历数有终，尧、舜避位，陛下岂可不思变通之计乎	如果大数已尽，命该如此，那么，即使是尧、舜也都不能不退位，陛下怎么可以不想一下变通的办法呢
超叹曰：废兴，命也	慕容超叹息说：天下的兴起和覆亡，都是天命
吾宁奋剑而死，不能衔璧而生	我宁可高举利剑战斗而死，也决不能口里衔着璧玉投降求生
初，徐道覆闻刘裕北伐，劝卢循乘虚袭建康，循不从	当初，东晋始兴相徐道覆听说刘裕带兵向北征伐南燕，便劝说卢循乘东晋中空虚袭击建康，卢循没有听从
道覆自至番禺说循曰：本住岭外，忌以理极於此，传之子孙邪	徐道覆亲自来到番禺，向卢循游说道：我们住在这五岭以南的地区，难道你还以为是因为理该如此，并且可以把它传给子孙吗
正以刘裕难与为敌故也	我们正是因为刘裕力量强大，很难跟他为敌才这样的
今裕顿兵坚城之下，未有还期，我以此思归死击掩击何、刘之徒，如反掌耳	现在刘裕的大军集结在坚固的城池之下，什么时候回来还说不定，我们用手下这些希望回到故乡去的敢于拼命的士兵，突然进攻何无忌、刘毅这些小辈，不过就像把手掌翻过来罢了
不乘此机苟求一日之安，朝廷常以君为腹心之疾；若裕平齐之后，息甲岁馀，以玺书征君，裕自将屯豫章，遣诸将帅锐师过岭，虽复以将军之神武，恐必不能当也	不趁这个时机起事，而只是追求一天的平安，朝廷却一直把您当做心腹大患
今日之机，万不可失	如果刘裕平安三齐地区之后，让军队休息一二年，再先用诏书征召您进京，随后刘裕亲自在豫章屯兵，派遣几个将领率领部队翻过五岭，即使将军再有神机勇武，恐怕也一定不能抵挡了
若先克建康，倾其根蒂，裕虽南还，无能为也	今天这个机会，是万万不可错过的
君若不同，便当帅始兴之众直指寻阳	如果我们抢先攻克了建康，把他们的根基全部摧毁，刘裕即使回来，也没有什么办法了
循甚不乐此举，而无以夺其计，乃从之	您如果不同意，我就要率领始兴的兵众直接进攻寻阳
	卢
西秦王乾归攻秦金城郡，拔之	西秦王乞伏乾归进攻并攻克了后秦金城郡
卢循寇掠诸县无所得，谓徐道覆曰：师老矣，不如还寻阳，并力取荆州，据天下三分之二，徐更与建康争衡耳	卢循进犯掠夺了几个县，什么也没抢到，对徐道覆说：军队出来时间太长，已经疲惫不堪，我看不如回到寻阳，合力攻取荆州，这样，我们占据了三分这二的天下，就可以慢慢地再与建康的东晋政权争强斗胜了
秋，七月，庚申，循自蔡洲南还寻阳，留其党范崇民将五千人据南陵	秋季，七月，庚申，卢循从蔡州向南撤退回寻阳，留下他的部将范崇民带领五千人据守南陵
甲子，裕使辅国将军王仲德、广川太守刘、河间内史兰陵蒯恩、中军谘议参军孟怀玉等帅众追循	甲子，刘裕派遣辅国将军王仲德、广川太守刘钟、河间内史兰陵人蒯恩、中军谘议参军孟怀玉等人带兵追击卢循
乙丑，魏主嗣还平城	乙丑，北魏国主拓跋嗣回到平城
西秦王乾归讨越质屈机等十余部，降其众二万五千，徙于苑川	西秦王乞伏乾归讨伐越质屈机等十几个部落，收降当地的士民二万五千人，并把他们迁到苑川居住
八月，乾归复都苑川	八月，乞伏乾归恢复苑川为自己的都城
刘裕还东府，大治水军，遣建威将军会稽孙处、振武将军沈田子帅众三千自海道袭番禺	东晋刘裕回到东府，大规模建设水军
田子，林子之兄也	他派遣建威将军会稽人孙处、振武将军沈田子率领部众三千人从海上绕道，前去袭击番禺
众皆以为海道艰远，必至为难，且分撤见力，非目前之急	沈田子是沈林子的哥哥
裕不从，敕处曰：大军十二月之交必破妖虏，卿至时，先倾其巢窟，使彼走无所归也	大家都以为海上行军艰难遥远，一定要抵达那里是一件很难完成的任务，而且分出现有兵力去进攻广州，也不是当务之急
江州刺史庾悦以鄱阳太守虞丘进为前驱，屡破卢循兵，进据豫章，绝循粮道	江州刺史庾悦任用鄱阳太守虞丘进为前锋，几次打败卢循的部队，开进到豫章据守，切断了卢循的运粮通道
九月，刘遵斩苟林于巴陵	九月，刘遵在巴陵斩杀了苟林
西秦王乾归攻秦略阳、南安、陇西诸郡，皆克之，徙民二万五千户于苑川及罕	西秦王乞伏乾归进攻后秦略阳、南安、陇西等几个郡，都攻克了，把那里的百姓二万五千家迁移到苑川和罕居住
甲寅，葬魏主于盛乐金陵，谥曰宣武，庙号烈祖	甲寅，把北魏国主拓跋安葬在盛乐的金陵，谥号宣武，庙号烈祖
鲜卑仆浑、羌句岂、输报、邓若等帅户二万降于西秦	鲜卑族仆浑部落，羌族句岂部落、输报部落、邓若部落等，率领二万户居民向西秦投降
癸丑，益州刺史鲍陋卒	癸丑，东晋益州刺史鲍陋去世
谯道福陷巴东，杀守将温祚、时延祖	谯道福攻陷了巴东，杀死那里的守将温祚、时延祖
春，正月，己未，刘裕还建康	春季，正月，己未，刘裕回到建康
秦广平公弼有宠于秦王兴，为雍州刺史，镇安定	后秦广平公姚弼，受到后秦王姚兴的宠爱，担任雍州刺史，镇守安定
姜纪谄附于弼，劝弼结兴左右以求入朝	姜纪投靠姚弼，极尽谄媚，他劝说姚弼结交姚兴身边的人，争取回到朝廷任职
兴征弼为尚书令、侍中、大将军	姚兴征召姚弼为尚书令、侍中、大将军
弼遂倾身结纳朝士，收采名势，以倾东宫；国人恶之	姚弼于是谦恭地与朝中官员交往结纳，树立名望，培植势力，以此排挤太子姚泓，国内官民，对他非常讨厌
会兴以西北多叛乱，欲命重将镇抚之；陇东太守郭播请使弼出镇；兴不从，以太常索棱为太尉、领陇西内史，使招抚西秦	正赶上姚兴因为西北地区的叛乱层出不穷，打算派一名重要的将领到那里镇抚，所以陇东太守郭播便请求派姚弼去镇守
西秦王乾归遣使送所掠守宰，谢罪请降	姚兴并不听从，任命太常索棱为太尉、兼陇西内史，让他去招扶西秦
兴遣鸿胪拜乾归都督陇西·岭北·杂胡诸军事、征西大将军、河州牧、单于、河南王，太子炽磐为镇西将军、左贤王、平昌公	西秦王乞伏乾归派使节送还被他俘虏的守、宰等地方官，承认罪过，请求投降
	姚兴便派鸿胪拜乞伏乾归都督陇西、岭北、杂胡诸军事及征西大将军、河州牧、单于、河南王，封太子乞伏炽磐为镇
河南王乾归徙鲜卑仆浑部三千余户于度坚城，以子敕勃为秦兴太守以镇之	后秦刚刚加封的河南王乞伏乾归，把鲜卑族仆浑部落的三千多户居民强行迁往度坚城，任命儿子乞伏敕勃为秦兴太守，镇守那里
焦朗犹据姑臧，沮渠蒙逊攻拔其城，执朗而宥之；以其弟为秦州刺史，镇姑臧	南凉将军焦朗还占据着姑臧
遂伐南凉，围乐都，三旬不克；南凉王檀以子安周为质，乃还	北凉沮渠蒙逊攻克了这座城市，活捉焦朗，又把他宽释了，并任命自己的弟弟沮渠为秦州刺史，镇守姑臧
	于是，他们继续征伐南
吐谷浑树洛干伐南凉，败南凉太子虎台	吐谷浑可汗树洛干讨伐南凉国，打败了南凉太子秃发虎台
南凉王檀欲复伐沮渠蒙逊，邯川护军孟恺谏曰：蒙逊新并姑臧，凶势方盛，不可攻也	南凉王秃发檀打算再一次征伐沮渠蒙逊，邯川护军孟恺劝阻说：沮渠蒙逊刚刚吞并了姑臧，凶猛的势头正在极盛的时候，不可以去进攻他
檀不从，五道俱进，至番禾、苕，掠五千余户而还	秃发檀不听，兵分五路，同时进军，抵达番禾、苕，抢掠了五千多户居民回军
将军屈右曰：今既获利，宜倍道旋师，早度险厄	将军屈右说：这次既然已经得到了好处，就应该火速班师，早点摆脱危险的环境
蒙逊善用兵，若轻军猝至，大敌外逼，徙户内叛，此危道也	沮渠蒙逊善于指挥军队，如果他派一支轻装的部队突然来到，强大的敌人在外围步步威逼，我们裹胁的这些迁移百姓在里面叛乱，这可是危险的事呵
卫尉伊力延曰：彼步我骑，势不相及	卫尉伊力延说：他们步行我们骑马，按道理他们是赶不上我们的
今倍道而归则示弱，且捐弃资财，非计也	现在如果我们加速回去，就是向敌人显示我们懦弱，而且要扔掉许多军用物资，不是好办法
俄而昏雾风雨，蒙逊兵大至，檀败走	不久，天气昏暗，大雾弥漫，风雨交加，沮渠蒙逊的军队大批出现，秃发檀败退而走
蒙逊进围乐都，檀婴城固守，以子染干为质以请和，蒙逊乃还	沮渠蒙逊进军围困乐都，秃发檀绕着城池，坚持防守，最后又用儿子秃发染干作为人质，向对方请求和解，沮渠蒙逊才收兵回去
卢循行收兵至番禺，遂围之，孙处拒守二十余日	卢循在撤退的过程中收集残兵败将，来到番禺，于是把番禺包围，孙处在那里抵抗坚守了二十多天
沈田子言于刘藩曰：番禺城虽险固，本贼之巢穴；今循围之，或有内变	沈田子对刘藩说：番禺城池虽然险要坚固，但是却本来就是敌兵的老窝，现在被卢循围困着，或许城里会出现变乱
且孙季高众力寡弱，不能持久，若使贼还据广州，凶势复振矣	况且孙处的军队少，力量弱，不可能坚持太久，如果让这些贼兵回来占据了广州，那么他们的凶恶势力就要重振了
夏，四月，田子引兵救番禺，击循，破之，所杀万余人	夏季，四月，沈田子带兵去援救番禺，进攻卢循，并把他打败，杀死一万多人
循走，田子与处共追之，又破循于苍梧、郁林、宁浦	卢循逃跑，沈田子与孙处一起去追击他，又在苍梧、郁林、宁浦等地几次打败卢循
会处病，不能进，循奔交州	正巧此时孙处病倒，大军不能继续前进，卢循乘机投奔交州
秋，七月，燕王跋以太子永领大单于，置四辅	秋季，七月，北燕国主冯跋任命太子冯永兼任大单于，设置四位辅佐大臣
沮渠蒙逊帅轻骑袭西凉，西凉公曰：兵有不战而败敌者，挫其锐也	沮渠蒙逊率领轻装骑兵袭击西凉国，西凉公李说：用兵的人有不用战斗而把敌人打败的，那就是挫伤他的锐气
蒙逊新与吾盟，而遽来袭我，我闭门不与战，待其锐气竭而击之，蔑不克矣	沮渠蒙逊刚刚与我们结盟，却又突然前来袭击我们，我们关紧城门不和他们接战，等到他们锐气枯竭之后再来进攻他们，没有不获胜的
顷之，蒙逊粮尽而归，遣世子歆帅骑七千邀击之，蒙逊大败，获其将沮渠百年	不久，沮渠蒙逊的军队粮食吃完，撤军，李派嫡长子李歆率领骑兵七千人拦腰进攻他们，沮渠蒙逊部队惨败，西凉俘获了他们的大将沮渠百年
是岁，并州刺史刘道怜为北徐州刺史，移镇彭城	这一年，东晋并州刺史刘道怜改任北徐州刺史，迁移到彭城镇守
二月，丙子，以吴兴太守孔靖为尚书右仆射	二月，丙子，东晋任命吴兴太守孔靖为尚书右仆射
河南王乾归徙都谭郊，命平昌公炽磐镇苑川	河南王乞伏乾归把都城迁到谭郊，命令平昌公乞伏炽磐镇守苑川
乾归击吐谷浑阿若干于赤水，降之	乞伏乾归在赤水袭击吐谷浑汗国的阿若干，收降了他
夏，四月，刘道规以疾求归，许之	夏季，四月，东晋荆州刺史刘道规因为身体有病，请求解职回京，朝廷准许
道规在荆州累年，秋毫无犯	刘道规在荆州任职几年，丝毫也没有侵占百姓的利益
及归，府库帷幕，俨然若旧	到他回京的时候，府库的帷幕都和他刚来时一模一样
随身甲士二人迁席於舟中，道规刑之于市	他的随从中有两个卫兵把一条草席带上了船，刘道规也把他们拉到市井中斩首
乞伏炽磐攻南凉三河太守吴阴于白土，克之，以乞伏出累代之	乞伏炽磐在白土进攻南凉三河太守吴阴，击败了他，让乞伏出累代替吴阴镇守白土
闰月，庚子，南郡烈武公刘道规卒	闰六月，庚子，东晋南郡烈武公刘道规去世
皇后王氏崩	东晋皇后王氏去世
庚戌，魏主嗣还平城	庚戌，北魏国主拓跋嗣回到平城
九月，河南王炽磐以尚书令武始翟为相国，侍中、太子詹事赵景为御史大夫，罢尚书令、仆、尚书六卿、侍中等官	九月，西秦河南王乞伏炽磐任命尚书令武始人翟为相国，任命侍中、太子詹事赵景为御史大夫，撤销了尚书令、仆、尚书六卿、待中等官职
癸酉，葬僖皇后于休平陵	癸酉，东晋把僖皇后王氏安葬在休平陵
秦立昭仪齐氏为后	后秦册立昭仪齐氏为王后
沮渠蒙逊迁于姑臧	北凉沮渠蒙逊把都城迁到姑臧
分荆州十郡置湘州	东晋把荆州的十个郡分出来，设立湘州
加太尉裕太傅、扬州牧	东晋朝廷加授太尉刘裕为太傅、扬州牧
丁巳，魏主嗣北巡，至长城而还	丁巳，北魏国主拓跋嗣，巡视北方，到达长城后返回
春，二月，庚戌，魏主嗣如高柳川；甲寅，还宫	春季，二月，庚戌，回宫
庚午，秦王兴遣使至魏修好	庚午，后秦王姚兴派遣使节前往北魏建立友好关系
林邑范胡达寇九真，杜慧度击斩之	林邑国范胡达进犯东晋九真郡，杜慧度回击并把他杀了
夏，四月，乙卯，魏主嗣西巡，命郑兵将军奚斤、鸿飞将军尉古真、都将闾大肥等击越勤部于跋那山	夏季，四月，乙卯，北魏国主拓跋嗣向西巡视，下令郑兵将军奚斤、鸿飞将军尉古真、都将闾大肥等进军跋那山，袭击越勤部落
大翁，柔然人也	闾大肥是柔然人
河南王炽磐遣安北将军乌地延、冠军将军翟绍击吐谷浑别统句旁于	河南王乞伏炽磐派遣安北将军乌地延、冠军将军翟绍进攻吐谷浑所
河西王蒙逊立子政德为世子，加镇卫大将军、录尚书事	北凉河西王沮渠蒙逊册立儿子沮渠政德为世子，加封为镇卫大将军、录尚书事
朱龄石等至白帝发函书，曰：众军悉从外水取成都，臧熹从中水取广汉，老弱乘高舰十馀，从内水向黄虎	东晋朱龄石等人带兵抵达白帝，打开盒中刘裕写的书信，上面说：大部队全部从外水进攻成都，臧熹从水中进攻广汉，老弱残兵乘坐高大的战舰十几条，从内水向黄虎进发
于是诸军倍道兼行	于是，几路大军火速向目标进发
谯纵果命谯道福将重兵镇涪城，以备内水	谯纵果然命令谯道福带领主力部队镇守涪城，用来防备从内水进攻的敌人
魏奚斤等破越勤于跋那山西，徙二万余家于大宁	北魏奚斤等人在跋那山以西的地区打败越勤部落，把当地居民二万多家强行迁移到大宁
河西胡曹龙等拥部众二万人来入蒲子，张外降之，推龙为大单于	河西的胡人曹龙等人带领部众二万多人前来进犯蒲子，西河胡人张外向他投降，推举曹龙为大单于
丙戌，魏主嗣如定襄大洛城	丙戌，北魏国主拓跋嗣前往定襄郡大洛城
河南王炽磐击吐谷浑支旁于长柳川，虏旁及其民五千余户而还	河南王乞伏炽磐在长柳川进攻吐谷浑的支帝部落，把支旁和他的部众五千多户俘虏，然后回师
八月，癸卯，魏主嗣还平城	八月，癸卯，北魏国主拓跋嗣回到平城
河南王炽磐击吐谷浑别统掘逵于渴浑川，大破之，虏男女二万三千	河南王乞伏炽磐进军渴浑川袭击吐谷浑的属下掘逵部落，并把那里攻破，俘虏了当地男女百姓二万三千人
冬，十月，掘逵帅其馀众降于炽磐	冬季，十月，掘逵率领他的剩下的部众向乞伏炽磐投降
吐京胡与离石胡出以眷叛魏，魏主嗣命元城侯屈督会稽公刘、永安侯魏勤以讨之	吐京胡人与离石胡人的首领出以眷背叛北魏，北魏国主拓跋嗣命令元城侯拓跋屈督率会稽公刘、记安侯魏勤等带兵前去讨伐
丁巳，出以眷引夏兵邀击，禽之以献于夏；勤战死	丁巳，出以眷带领夏国军队拦腰阻击刘，并把刘活捉献给夏国
嗣以屈亡二将	魏勤战死
欲诛之；既而赦之，使摄并州刺史	拓跋嗣因为拓跋屈损失了两员大将，打算杀了他，但不久又把他赦免了，让他暂时代理并州刺史
屈到州，纵酒废事，嗣积其前后罪恶，槛车征还，斩之	拓跋屈来到并州治所，天天酗酒，荒废政事，拓跋嗣把他前前后后的罪恶积累到一起，用囚车将他押解回京，斩首
春，正月，辛酉，魏大赦，改元神瑞	春季，正月，辛酉，北魏实行大赦，改年号为神瑞
夏王勃勃侵魏河东蒲子	夏王赫连勃勃入侵北魏河东的蒲子
庚戌，魏主嗣如豺山宫	庚戌，北魏国主拓跋嗣前往豺山宫
魏并州刺史娄伏连袭杀夏所置吐京护军及其守兵	北魏并州刺史娄伏连，进攻并杀死了夏国所设置的吐京护军和那里的守卫士卒
夏，五月，辛酉，魏主嗣还平城	夏季，五月，辛酉，北魏国主拓跋嗣回到平城
秦后将军敛成讨叛羌，为羌所败，惧罪，出奔夏	后秦后将军敛成，讨伐叛乱的羌族部落，被羌人打败，为此他非常害怕，出去投奔夏国
秦王兴有疾	后秦王姚兴有病
妖贼李弘与氐仇常反于贰城，兴舆疾往讨之，斩常，执弘而还	妖贼首领李弘与氐人部落首领仇常在贰城反叛，姚兴带病坐在车轿上前去讨伐他们，斩杀了仇常，活捉李弘而回京
六月，泰山太守刘研等帅流民七千余家、河西胡酋刘遮等帅部落万余家，皆降于魏	六月，东晋泰山太守刘研等人率领流亡难民七千多家，河西的匈奴部落酋长刘遮等帅领部落的一万多家，都向北魏国投降
魏主嗣以博士王谅为平南参军，使以平南将军、相州刺史尉太真书与太裕相闻	北魏国主拓跋嗣任命博士王谅为平南参军，让他以平南将军、相州刺史尉太真的名义写信给东晋太尉刘裕，致以问侯
太真，古真之弟也	尉太真是尉古真的弟弟
九月，丁巳朔，日有食之	九月，丁巳逆，出现日食
冬，十月，河南王炽磐复称秦王，置百官	冬季，十月，河南王乞伏炽磐再一次号称秦王，设置文武百官
燕主跋与夏连和，夏王勃勃遣御史中丞乌洛孤如燕莅盟	北燕王冯跋与夏国联合，夏王赫连勃勃派遣御史中丞乌洛孤前往北燕签订盟约
十一月，壬午，魏主嗣遣使者巡行诸州，校阅守宰资财，非家所赍，悉簿为赃	十一月，壬午，北魏国主拓跋嗣派遣使者到各州巡察，检查核对守宰等地方官的资产钱财，凡不是从家里自己带出来的东西，全部当作赃物记录下来
西秦王炽磐立妃秃发氏为后	西秦王乞伏炽磐册立妃子秃发氏为皇后
河内人司马顺宰自称晋王，魏人讨之，不克	北魏国河内人司马顺宰自称为晋王，北魏军队讨伐他，没有攻克
燕辽西公素弗卒，燕王跋比葬七临之	北燕辽西公冯素弗去世，北燕王冯跋到安葬他的时候，已经前去吊唁了七次
春，正月，丙辰，魏主嗣还平城	春季，正月，丙辰，北魏国主拓跋嗣回到平城
丁丑，以吏部尚书谢裕为尚书左仆射	丁丑，东晋朝廷任命吏部尚书谢裕为尚书左仆射
