春，正月，甲申，魏主备法驾，诣道坛受符，旗帜尽青	春季，正月，甲申，北魏国主拓跋焘备好车驾，打着全青色的旗帜来到道教神坛前接受符
八月，甲子，北周大赦天下	乙丑，齐主还邺
乙丑，北齐文宣帝回到邺城	辛未，诏临川王西讨，以舟师五万发建康，上幸冶城寺送之
辛未，陈武帝下诏派临川王陈出兵向西讨伐，共有水军五万人从建康出发，陈武帝亲临冶城寺为陈送行	甲戌，齐主如晋阳
北齐文宣帝去晋阳	王琳在白水浦，周文育、侯安都、徐敬成许王子晋以厚赂，子晋乃伪以小船依而钓，夜，载之上岸，入深草中，步投陈军，还建康自劾；上引见，并宥之，戊寅，复其本官
九月，甲申，北周封少师元罗为韩国公以继承西魏的香火	丁未，周王如同州；冬，十月，辛酉，还长安
十二月，戊寅，北齐任命可朱浑道元为太师，尉粲为太尉冀州刺史段韶为司空，常山王高演为大司马，长广王高湛为司徒	壬午，周大赦
壬午，北周大赦天下	齐主如北城，因视永安简平王浚、上党刚肃王涣于地牢
	帝
春季，正月，己酉，北周太师宇文护上表表示把政权归还周王，周王开始亲理万机；但军事方面的事务，宇文护还是总揽着	王琳召桂州刺史淳于量
开始把都督州军事这一官职改称总管	量虽与琳合而潜通于陈；二月，辛酉，以量为开府仪同三司
三月，戊戌，北齐任命待中高德政为尚书右仆射	吐谷浑寇周边，庚戌，周遣大司马贺兰祥击之
闰四月，戊子，北周命令有关部门重新修订新历法	丁酉，遣镇北将军徐度将兵城南皖口
北齐文宣帝封儿子高绍廉为长乐王	辛亥，周以侯莫陈崇为大司徒，达奚武为大宗伯，武阳公豆卢宁为大司寇，柱国辅城公邕为大司空
辛亥，北周任命侯莫陈崇为大司徒，达奚武为大宗伯，武阳公豆卢宁为大司寇，柱国辅城公宇文邕为大司空	乙卯，周诏：有司无得纠赦前事；唯厩库仓廪与海内所共，若有侵盗，虽经赦宥免其罪，征备如法
乙卯，北周下诏，规定：有关部门不能再检举大赦以前的事；只有国家的车马库、粮仓、货栈是海内所共有的财产，如果有侵吞盗窃的人，虽然经过赦免宽大免去罪行，但必须让他依照规定缴纳钱粮作为赔偿	周驾兰祥与吐谷浑战，破之，拔其洮阳、洪和二城，以其地为洮州
北周贺兰祥与吐谷浑开战，打败了吐谷浑，攻取了其所属的洮阳、洪和两城，把这两个城的地方合并为洮州	五月，丙辰朔，日有食之
八月，甲申，陈朝葬陈武帝于万安陵，庙号为高祖	戊戌，齐封皇子绍义为广阳王；以尚书右仆射河间王孝琬为左仆射，都官尚书崔昂为右仆射
辛酉，陈朝立皇子陈伯宗为太子	己巳，齐主如晋阳
己巳，北齐国主去晋阳	辛未，周主封其弟辅城公邕为鲁公，安成公宪为齐公，纯为陈公，盛为越公，达为代公，通为冀公，为滕公
辛未，北周国主封他的弟弟辅城公宇文邕为鲁公，安成公宇文宪为齐公，宇文纯为陈公，宇文盛为越公，宇文达为代公，宇文通为冀公，宇文为滕公	乙亥，立太子母吴兴沈妃为皇后
乙亥，陈朝立太子陈伯宗的母亲吴兴人沈妃为皇后	周少保怀宁庄公蔡卒
北齐任命右丞相斛律金为丞相，常山王高演为太傅，长广王高湛为太尉，段韶为司徒，平原王高淹为司空，高阳王高为尚书左仆射，河间王高孝琬为司州牧，侍中燕子献为右仆射	辛未，齐显祖之丧至邺
辛未，北齐文宣帝的灵柩由晋阳移到邺城	十二月，戊戌，齐徙上党王绍仁为渔阳王，广阳王绍义为范阳王，长崐乐王绍广为陇西王
十二月，戊戌，北齐改封上党王高绍仁为渔阳王，广阳王高绍义为范阳王，长乐王高绍广为陇西王	春，正月，癸丑朔，大赦，改元
春季，正月，癸丑朔，陈朝大赦天下，改换年号为天嘉	齐大赦，改元乾明
北齐大赦天下，改换年号为乾明	辛酉，上祀南郊
辛未，陈文帝在北郊祭地	齐主自晋阳还至邺
北齐国主高殷从晋阳回到邺城	二月，乙未，高州刺史纪机自军所逃还宣城，据郡应王琳，泾令贺当迁讨平之
二月，乙未，高州刺史纪机从侯的军队里逃回宣城，占据了郡城呼应王琳，泾县县令贺当迁率兵讨平了他	齐葬文宣皇帝于武宁陵，庙号高祖，后改曰显祖
北齐把文宣帝葬在武宁陵，庙号为高祖，后来又改称显祖	戊戌，诏：衣冠士族、将帅战兵陷在王琳党中者，皆赦之，随材铨叙
戊戌，陈文帝下诏，说：不论是有身份的士族文官，还是将帅士兵，凡是陷进王琳一党里的，回来了都赦免其罪，按照他们的才能予以选拔任命	已亥，齐以常山王演为太师、录尚书事，以长广王湛为大司马、并省录尚书事，以尚书左仆射平秦王归彦为司空，赵郡王睿为尚书左仆射
已亥，北齐任命常山王高演为太师、录尚书事，任命长广王高湛为大司马、并省录尚书事，任命尚书左仆射平秦王高归彦为司空，赵郡王高睿为尚书左仆射	乙巳，以太尉侯都督湘、巴等五州诸军事，镇湓城
十一月，辛亥，北齐国主孝昭帝册立妃子元氏为皇后，世子高百年为太子	齐主自将击库莫奚，至天池，库莫奚出长城北遁
高百年这时才五岁	齐主分兵追击，获牛羊七万而还
孝昭帝自己带兵去进攻库莫奚，一直打到天池，库莫奚越过长城往北逃窜了，孝昭帝分兵几路，穷追猛打，缴获牛羊七万头，获胜归来	十二月，乙未，诏：自今孟春讫于夏首，大辟事已款者，宜且申停
庚戌，陈朝大赦天下	周主祀圜丘
北周国主在圜丘祭天	辛亥，齐主祀圜丘；壬子，于太庙
已巳，北周国主在太庙祭拜祖宗，按太祖所定的六官之法进行排列	辛未，周湘州城主殷亮降，湘州平
辛未，北周湘州城主殷亮投降陈国，湘州被平定	二月，甲午，周主朝日于东郊
二月，甲午，北周国主在东郊朝拜日神	周人以小司徒韦孝宽尝立勋于玉壁，乃置勋州于玉壁，以孝宽为刺史
北周因为小司徒韦孝宽曾在玉壁建立过功勋，于是就在玉壁设置勋州，任命韦孝宽为刺史	三月，乙卯，太尉零陵壮肃公侯卒
三月，乙卯，太尉零陵人壮肃公侯去世	丙寅，周改八丁兵为十二丁兵，率岁一月而役
丙寅，北周把境内原来分为八拨而轮番服役的民丁改分为十二拨，每拨每年服役一个月	夏，四月，丙子朔，日有食之
夏季，四月，丙子朔，发生日食	周以少傅尉迟纲为大司空
六月，乙酉，北周派御正殷不害来陈朝聘问	秋，七月，周更铸钱，文曰布泉，一当五，与五铢并行
秋季，七月，北周重新铸钱，钱币上的字是布泉，一枚当五枚小钱，与五铢钱一起流通	己酉，周追封皇伯父颢为邵国公，以晋公护之子会为嗣；颢弟连为杞国公，以章武公导之子亮为嗣；连弟洛生为莒国公，以护之子至为嗣；追封太祖之子武邑公震为宋公，以世宗之子实为嗣
冬季，十月，甲戌朔，发生日食	丙子，齐以彭城王为太保，长乐王尉粲为太尉
北周凉景公贺兰祥病逝	壬寅，周人凿河渠于蒲州，龙首渠于同州
壬寅，北周在蒲州开凿河渠，在同州开凿龙首渠	丁未，周以安成王顼为柱国大将军，遣杜杲送之南归
丁未，北周任命安成王陈顼为柱国大将军，派杜杲送他回南方	辛亥，上祀南郊，以胡公配天；二月，辛酉，祀北郊
梁朝末年政败国乱，铁钱不再流通	后梁主安于俭素，不好酒色，虽多猜忌，而抚将士有恩
民间私自流通着鹅眼钱	以封疆褊隘，邑居残毁，干戈日用，郁郁不得志，疽发背而殂；葬平陵，谥曰宣皇帝，庙崐号中宗
甲子，改铸五铢钱，一枚五铢钱可兑换十枚鹅眼钱	太子岿即皇帝位，改元天保；尊龚太后为太皇太后，王后曰皇太后，母曹贵嫔为皇太妃
三月，丙子，安成王陈顼到达建康，陈文帝下诏封他为中书监、中卫将军	丁丑，以安右将军吴明彻为江州刺史，督高州刺史黄法氍、豫章太守周敷共讨周迪
丁丑，陈朝任命安右将军吴明彻为江州刺史，指挥高州刺史黄法氍、豫章太守周敷一起去讨伐周迪	甲申，大赦
乙巳，北齐派使者到陈朝聘问	齐青州上言河水清，齐主遣使祭之，改元河清
五月，庚午，北周大赦天下	己丑，齐以右仆射斛律光为尚书令
癸亥，武成帝到了晋阳	上遣使聘齐
陈文帝派使者到齐国聘问	九月，戊辰朔，日有食之
陈朝任命侍中、都官尚书到仲举为尚书右仆射、丹杨尹	吴明彻至临川攻周迪，不能克
到仲举是到溉的弟弟的儿子	丁亥，诏安成王顼代之
十一月，丁卯，北周任命赵国公宇文招为益州总管	丁丑，齐遣兼散骑常侍封孝琰来聘
丁丑，北齐派兼散骑常侍封孝琰到陈朝聘问	十二月，丙辰，齐主还邺
北周武帝命令司宪大夫拓跋迪制定《大律》十五篇，规定对犯罪的惩罚：一是杖刑，杖十到五十下；二是鞭刑，鞭打六十到一百下；三是徒刑，刑期从一年到五年；四是流刑，流放二千五百里到四千五百里；五是死刑，分缢崐死、绞死、斩首、将首级悬挂示众、用车裂尸；一共分二十五等	庚戌，以司空南徐州刺史侯安都为江州刺史
三月，乙丑朔，出现日食	齐诏司空斛律光督步骑二万，筑勋掌城于轵关；仍筑长城二百里，置十二戍
北齐武成帝高湛诏令司空斛律光督带二万名步、骑兵，到轵关建造勋掌城，构筑了二百里的长城，设立十二个戌所	丙戌，齐以兼尚书右仆射赵彦深为左仆射
丙戌，北齐任命兼尚书右仆射赵彦深为左仆射	夏，四月，乙未，周以柱国达奚武为太保
秋季，七月，戊辰，北周武帝驾临原州	八月，辛丑，齐以三台宫为大兴圣寺
八月，辛丑，北齐把三台宫改为大兴圣寺	九月，壬戌，广州刺史阳山穆公欧阳卒，诏子纥袭父爵位
九月，壬戌，陈朝的广州刺史阳山穆公欧阳去世，下诏他的儿子欧阳纥承袭父亲的爵位	甲子，周主自原州登陇
甲子，北周武帝从原州登上陇坂	周迪复越东兴岭为寇，辛未，诏护军章昭达将兵讨之
陈朝因周迪又越过东兴岭侵犯，辛未，诏命护军章昭达率领军队去讨伐	丙戌，周主如同州
十二月，辛卯，北周武帝回长安	丙申，大赦
丙申，陈朝大赦全国	章昭达进军，度岭，趣建安，讨陈宝应，诏益州刺史余孝顷督会稽、东阳、临海、永嘉诸军自东道会之
陈朝的章昭达进军，经过东兴岭，向建安急进，讨伐陈宝应，文帝诏命益州刺史余孝顷督率会稽、东阳、临海、永嘉等地军队从东路来会合	是岁，初祭始兴昭烈王于建康，用天子礼
辛巳，陈文帝到南郊祭天	二月，庚寅朔，日有食之
夏季，四月，辛卯，北齐武成帝派兼散骑常侍皇甫亮来陈朝聘问	庚子，周主遣使来聘
壬辰，北齐武成帝去晋阳	周以太保达奚武为同州刺史
秋季，八月，丁亥朔，发生日食	周遣柱国杨忠会突厥伐齐，至北河而还
突厥从幽州返回，屯兵在塞北，进一步召集各部落的军队，派使者告诉北周，打算象以前所约定那样共同进攻北齐	周迪复出东兴，宣城太守钱肃镇东兴，以城降迪
闰月，乙巳，突厥入侵北齐幽州	吴州刺史陈详将兵击之，详兵大败，迪众复振
这一年，北齐的山东水灾，饿死的人数不胜数	宕昌王梁弥定屡寇周边，周大将军田弘讨灭之，以其地置宕州
宕昌王梁弥定屡次进犯北周的边界，北周的大将军田弘将他讨平，在那里设置宕州	春，正月，癸卯，齐以任城王为大司马
春季，正月，癸卯，北齐任命任城王高为大司马	齐主如晋阳
丙寅，北周任命柱国安武公李穆为大司空，绥德公陆通为大司寇	壬申，周主如岐州
壬申，北周国主去岐州	夏，四月，甲寅，以安成王顼为司空
夏季，四月，甲寅，陈朝任命安成王陈顼为司空	丙午，齐大将军东安王娄睿坐事免
五月，突厥派使者到北齐，开始和北齐联系	六月，乙巳，齐主使兼散骑常侍王季高来聘
六月，己巳，北齐国主派兼散骑常侍王季高来陈朝访问	秋，七月，辛巳朔，日有食之
庚寅，回长安	已卯，立皇子伯固为新安王，伯恭为晋安王，伯仁为庐陵王，伯义为江夏王
已卯，陈朝立皇子陈伯固为新安王，陈伯恭为晋安王，陈伯仁为庐陵王，陈伯义为江夏王	冬，十月，辛亥，周以函谷关城为通洛防，以金州刺史贺若敦为中州刺史，镇函谷
冬季，十月，辛亥，北周以函谷关的关城为通洛防，任命金州刺史贺若敦做中州刺史，镇守函谷	十一月，癸未，齐太上皇至邺
十二月，乙卯，陈朝封皇子陈伯礼为武陵王	壬戌，齐上皇如晋阳
壬戌，北齐太上皇武成帝去晋阳	庚午，齐改谥文宣皇帝为景烈皇帝，庙号威宗
春季，正月，已卯，出现日食	癸未，周大赦，改元天和
癸未，北周大赦全国，改年号为天和	辛卯，齐主祀圜丘；癸巳，袷太庙
辛卯，在太庙举行袷祀	丙申，齐以吏部尚书尉瑾为右仆射
丙申，北齐任命吏部尚书尉瑾为右仆射	已亥，周主耕藉田
已亥，北周国主在藉田举行耕种仪式	庚子，齐主如晋阳
庚子，北齐国主去晋阳	周遣小载师杜杲来聘
北周派小载师杜杲来陈朝聘问	二月，庚戌，齐上皇还邺
二月，庚戌，北齐太上皇武成帝回邺城	丙子，大赦，改元
丙子，陈朝大赦全国，改年号为天康	三月，已卯，以安成王顼为尚书令
癸酉，陈文帝去世	乙酉，齐以兼尚书左仆射武兴王普为尚书令
乙酉，北齐任命兼尚书左仆射武兴王高普为尚书令	吐谷浑龙涸王莫昌帅部落附于周，以其地为扶州
已亥，北齐立太上皇帝的儿子高弘为齐安王，高仁固为北平王，高仁英为高平王，高仁光为淮南王	六月，齐遣兼散骑常侍韦道儒来聘
六月，北齐派兼散骑常侍韦道儒来陈朝聘问	丙寅，葬文皇帝于永宁陵，庙号世祖
丙寅，陈朝把文帝葬在永宁陵，庙号世祖	秋，七月，戊寅，周筑武功等诸城以置军士
秋季，七月，戊寅，北周修筑武功等城池设置军队	丁酉，立妃王氏为皇后
丁酉，陈朝立妃子王氏为皇后	八月，齐上皇如晋阳
冬季，十月，北齐任命侯莫陈相为太傅，任城王高为太保，娄睿为大司马，冯翊王高润为太尉，开府仪同三司韩祖念为司徒	庚申，帝享太庙
庚申，陈废帝陈伯宗到太庙祭祀	十一月，乙亥，周遣使来吊
十一月，乙亥，北周派使者来陈朝吊丧	丙戌，周主行视武功等新城；十二月，庚申，还长安
这一年，北齐赐侍中、中书监元文遥姓高，不久，又升职为尚书左仆射	春，正月，癸酉朔，日有食之
春季，正月，癸酉朔，出现日食	尚书左仆射袁枢卒
陈朝尚书左仆射袁枢去世	乙亥，大赦，改元
乙亥，陈朝大赦天下，改年号为光大	辛卯，帝祀南郊
辛卯，陈废帝到南郊祭祀	壬辰，齐上皇还邺
壬辰，北齐太上皇回邺城	己亥，周主耕藉田
己亥，北周国主在藉田举行耕种仪式	二月，壬寅朔，齐主加元服，大赦
三月，甲午，陈朝任命尚书右仆射沈钦为侍中、左仆射	夏，四月，癸丑，齐遣散骑常侍司马幼之来聘
辛亥，北周国主向母亲叱奴氏上皇太后尊号	己未，齐封皇弟仁机为西河王，仁约为乐浪王，仁俭为颍川王，仁雅为安乐王，仁直为丹杨王，仁谦为乐海王
秋季，七月，戊申，陈朝立皇子陈至泽为太子	八月，齐以任城王为太师，冯翊王润为大司马，段韶为左丞相，贺拔仁为右丞相，侯莫陈相为太宰，娄睿为太傅，斛律光为太保，韩祖念为大将军，赵郡王睿为太尉，东平王俨为司徒
冬季，十月，甲申，陈废帝到太庙祭祀祖宗	十一月，戊戌朔，日有食之
十一月，戊戌朔，出现日食	丙午，齐大赦
丙午，北齐大赦全国	癸丑，周许穆公宇文贵自突厥还，卒于张掖
癸丑，北周许穆公宇文贵从突厥回朝，中途死在张掖	齐上皇还邺
北齐太上皇回邺城	十二月，周晋公护母卒，诏起，令视事
春季，正月，己亥，安成王陈顼进位太傅，领司徒，加特殊的礼遇	辛丑，周主祀南郊
辛丑，北周国主到南郊祭祀	癸亥，齐主使兼散骑常侍郑大护来聘
癸亥，北齐国主派兼散骑常侍郑大护来陈朝聘问	湘东忠肃公徐度卒
陈朝的湘东忠肃公徐度死	二月，丁卯，周主如武功
夏季，四月，辛巳，北周任命达奚武为太傅，尉迟迥为太保，齐公宇文宪为大司马	齐上皇如晋阳
庚戌，去醴泉宫	壬戌，齐上皇还邺
丙午，陈废帝到太庙祭祀行礼	戊午，周主还长安
戊午，北周国主回长安	壬戌，封皇弟伯智为永阳王，伯谋为桂阳王
壬戌，陈废帝封弟弟陈伯智为永阳王，陈伯谋为桂阳王	八月，齐请和于周，周遣军司马陆程聘于齐；九月，丙申，齐使侍中斛斯文略报之
八月，北齐向北周求和，北周派军司马陆程到北齐聘问；九月，丙申，北齐派侍中斛斯文略回聘	冬，十月，癸亥，周主享太庙
冬季，十月，癸亥，北周国主到太庙祭祀行礼	庚午，帝享太庙
庚午，陈废帝到太庙祭祀行礼	辛巳，齐以广宁王孝珩录尚书事，左仆射胡长仁为尚书令，右仆射和士开为左仆射，中书监唐邕为右仆射
辛巳，北齐任命广宁王高孝珩为录尚书事，左仆射胡长仁为尚书令，右仆射和士开为左仆射，中书监唐邕为右仆射	十一月，壬辰朔，日有食之
十一月，壬辰朔，发生日食	齐遣兼散骑常侍李谐来聘
北齐派兼散骑常侍李谐来陈朝聘问	甲辰，周主如岐阳
甲辰，北周国主去岐阳	周遣开府仪同三司崔彦等聘于齐
辛丑，陈宣帝到南郊祭天	壬寅，封皇子叔英为豫章王，叔坚为长沙王
壬寅，陈朝封皇子陈叔英为豫章王，陈叔坚为长沙王	戊午，上享太庙
二月，乙亥，陈宣帝到藉田举行耕种仪式	甲申，齐葬武成帝于永平陵，庙号世祖
甲申，北齐把武成帝葬在永平陵，庙号世祖	乙丑，齐徙东平王俨为琅邪王
己丑，北齐把东平王高俨迁移到琅邪郡为琅邪王	齐遣侍中叱列长叉聘于周
北齐派侍中叱列长叉到北周聘问	齐以司空徐显秀为太尉，并省尚书令娄定远为司空
五月，庚戌，北周国主去醴泉宫	丁巳，以吏部尚书徐陵为左仆射
丁巳，陈朝任命吏部尚书徐陵为左仆射	秋，七月，辛卯，皇太子纳妃沈氏，吏部尚书君理之女也
秋季，七月，辛卯，陈朝皇太子纳沈氏为妃，她是吏部尚书沈君理的女儿	辛亥，周主还长安
辛亥，北周国主回长安	八月，庚辰，盗杀周孔城防主，以其地入齐
壬午，陈宣帝到太庙祭祀	十一月，辛亥，周郐文公长孙俭卒
春季，正月，乙酉朔，北齐改年号为武平	齐东安王娄睿卒
北齐东安王娄睿去世	丙午，上享太庙
丙午，陈宣帝到太庙祭祀	戊申，齐使兼散骑常侍裴谳之来聘
三月，丙申，陈朝皇太后章氏去世	戊戌，齐安定武王贺拔仁卒
戊戌，北齐安定武王贺拔仁去世	丁未，大赦
丁未，陈朝大赦全国	夏，四月，甲寅，周以柱国宇文盛为大宗伯
夏季，四月，甲寅，北周任命柱国宇文盛为大宗伯	周主如醴泉宫
北周国主去醴泉宫	辛酉，齐以开府仪同三司徐之才为尚书左仆射
辛酉，北齐任命开府仪同三司徐之才为尚书左仆射	戊寅，葬武宣皇后于万安陵
戊寅，陈朝将武宣皇后葬在万安陵	闰月，戊申，上谒太庙
闰月，戊申，陈宣帝到太庙谒告行礼	五月，壬午，齐遣使来吊
五月，壬午，北齐派使者来陈朝吊唁武宣皇后	六月，乙酉，齐以广宁王孝珩为司空
乙卯，北周国主回长安	癸酉，齐以华山王凝为太傅
八月，辛卯，北齐国主去晋阳	九月，乙巳，齐立皇子恒为太子
九月，乙巳，北齐立皇子高恒为太子	冬，十月，辛巳朔，日有食之
乙酉，陈宣帝到太庙祭祀	己丑，齐复威宗谥曰文宣皇帝，庙号显祖
己丑，北齐恢复威宗的文宣皇帝谥号，庙号显祖	丁酉，周郑桓公达奚武卒
丁酉，北周的郑桓公达奚武去世	十二月，丁亥，齐主还邺
十二月，丁亥，北齐国主回邺城	周大将军郑恪将兵平越，置西宁州
春季，正月，乙丑，陈朝任命尚书右仆射徐陵为左仆射	丁巳，齐使兼散骑常侍刘环俊来聘
丁巳，北齐派兼散骑常侍刘环俊来陈朝聘问	辛酉，上祀南郊；辛未，祀北郊
二月，辛巳，到藉田举行耕种的仪式	壬寅，齐以兰陵王长恭为太尉，赵彦深为司空，和士开录尚书事，徐之才为尚书令，唐邕为左仆射，吏部尚书冯子琮为右仆射，仍摄选
壬寅，北齐任命兰陵王高长恭为太尉，赵彦深为司空，和士开为录尚书事，徐之才为尚书令，唐邕为左仆射，吏部尚书冯子琮为右仆射，仍旧执掌吏部对官吏的铨选	三月，丁丑，大赦
夏季，四月，戊寅朔，发生日食	壬午，齐以琅邪王俨为太保
壬午，北齐任命琅邪王高俨为太保	壬辰，齐遣使来聘
壬辰，北齐派使者来陈朝聘问	周陈公纯取齐宜阳等九城，齐斛律光将步骑五万赴之
北周陈公纯夺取北齐的宜阳等九座城池，北齐斛律光率领五万名步、骑兵赶到那里抵抗	五月，癸亥，周使纳言郑诩来聘
八月，己亥，北齐后主去晋阳	九月，辛亥，齐以任城王为太宰，冯翊王润为太师
壬午，北周冀公宇文通去世	甲申，上享太庙
甲申，陈宣帝到太庙祭祀祖先	乙未，周遣右武伯谷会琨等聘于齐
庚戌，北齐派侍中赫连子悦到北周聘问	十一月，丁巳，周主如散关
十二月，己丑，北周国主回长安	壬辰，邵陵公章昭达卒
春季，正月，丙午，陈朝任命尚书仆射徐陵为左仆射，中书监王劢为右仆射	己巳，齐主祀南郊
乙巳，北齐后主到南郊祭天	庚午，上享太庙
庚午，陈宣帝到太庙祭祀	辛未，齐主赠琅邪王俨为楚恭哀帝以慰太后心，又以俨妃李氏为楚帝后
二月，癸酉，北周派大将军昌城公宇文深到突厥访问，司宾李除、小宾部贺遂礼到北齐访问	己卯，齐以卫菩萨为太尉
宇文深是宇文护的儿子	辛巳，以并省吏部尚书高元海为尚书左仆射
夏季，四月，北周派工部成公建、小礼部辛彦之到北齐聘问	庚寅，周追尊略阳公为孝闵皇帝
庚寅，北周追尊略阳公宇文觉为孝闵皇帝	癸巳，周立皇子鲁公为太子，大赦
癸巳，北周立皇子鲁公宇文为太子，大赦全国	五月，癸卯，王劢卒
辛未，北周派司城中大夫杜杲来陈朝聘问	初，齐胡太后自愧失德，欲求悦于齐主，乃饰其兄长仁之女置宫中，令帝见之，帝果悦，纳为昭仪
宣帝对他说：如果要和我国联合起来谋取北齐，应该把樊、邓二州让给我们	及斛律后废，陆令萱欲立穆夫人；太后欲立胡昭仪，力不能遂，乃卑辞厚礼以求令萱，结为姊妹
使者回答说：联合起来谋取北齐，难道仅仅是敝国一国的利益	令萱亦以胡昭仪宠幸方隆，不得已，与祖白帝立之
贵国一定要城镇，应该从北齐那里去得到，先要索取汉南一带地方，我作为使臣不敢传达这个要求	戊子，立皇后胡氏
己丑，北齐任命北平王高仁坚为尚书令，特进许季良为左仆射，彭城王高宝德为右仆射	癸巳，齐主如晋阳
癸巳，北齐后主去晋阳	九月，庚子朔，日有食之
九月，庚子朔，发生日食	辛亥，大赦
辛亥，陈朝大赦全国	冬，十月，庚午，周诏：江陵所虏充官口者，悉免为民
冬季，十月，庚午，北周诏令：在江陵俘虏充当官府奴婢的，全部赦免为百姓	辛未，周遣小匠师杨勰等来聘
辛未，北周派小匠师杨勰等来陈朝聘问	周绥德公陆通卒
北周绥德公陆通去世	乙酉，上享太庙
庚寅，北周国主到道会苑游玩，因为上善殿壮丽，将它焚毁	十二月，辛巳，周主祀南郊
乙巳，北周任命柱国田弘为大司空	乙卯，周主享太庙
春季，正月，癸酉，陈朝任命吏部尚书沈君理为右仆射	戊寅，齐以并省尚书令高阿那肱录尚书事，总知外兵及内省机密，与侍中城阳王穆提婆、领军大将军昌黎王韩长鸾共处横轴，号曰三贵，蠹国害民，日月滋甚
戊寅，北齐任命并省尚书令高阿那肱录尚书事，总管外兵和宫内的机密，和侍中城阳王穆提婆、领军大将军昌黎王韩长鸾一同担任朝廷中枢的要职，号称三贵，祸国殃民，一天比一天厉害	庚辰，齐遣崔象来聘
庚辰，北齐派崔象来陈朝聘问	辛巳，上祀南郊；甲午，享太庙；二月，辛丑，祀明堂
壬戌，北周派司会侯莫陈凯等人到北齐聘问	庚辰，齐主还邺
庚辰，北齐后主回邺城	三月，己卯，周太子于岐州获二白鹿以献，周主诏曰：在德不在瑞
夏季，四月，己亥，北周国主到太庙祭祀	癸卯，前巴州刺史鲁广达与齐师战于大岘，破之
癸卯，陈朝的前巴州刺史鲁广达和北齐军队在大岘交战，将北齐军队打败	戊申，齐以兰陵王长恭为太保，南阳王绰为大司马，安德王延宗为太尉，武兴王普为司徒，开府仪同三司宜阳王赵彦深为司空
北齐后主到南苑游玩，对六十个随从官员赐死	癸丑，程文季攻齐泾州，拔之
任命高阿那肱为司徒	乙卯，宣毅司马湛陀克新蔡城
癸巳，北周国主召集群臣和僧人、道士，自己登上高坐，辩论三教次序的先后，以儒教为第一，道教其次，佛教最后	乙未，谯城降
乙未，谯城投降	乙巳，立皇子叔明为宜都王，叔献为河东王
乙巳，陈朝立皇子陈叔明为宜都王，陈叔献为河东王	壬午，任忠克霍州
壬午，陈朝的任忠攻克霍州	是岁，突厥求婚于齐
这一年，突厥派人到北齐求婚	春，正月，壬戌朔，周齐公宪等七人进爵为王
六年	
春季，正月，壬戌朔，北周齐公宇文宪等七人进爵为王	己巳，周主享太庙；乙亥，耕藉田
己巳，到藉田举行耕种仪式	壬子，上享太庙
壬午，陈宣帝到太庙祭祀	甲申，广陵金城降
甲申，广陵城牙城中的将士向陈朝投降	二月，壬午朔，日有食之
二月，壬辰朔，有日食	乙未，齐主还邺
乙未，北齐后主回邺城	丁酉，周纪国公贤等六人进爵为王
丁酉，北周纪国公宇文贤等六人进爵为王	辛亥，上耕藉田
乙卯，北周国主去云阳宫	丙辰，周大赦
庚午，北齐大赦全国	齐人恐陈师渡淮，使皮景和屯西兖州以备之
六月，壬辰，陈朝的周弘正去世	壬子，周更铸五行大布钱，一当十，与布泉并行
壬子，北周改铸五行大布钱，以一当十，和布泉一同流通	戊午，周立通道观以壹圣贤之教
戊午，北周建立通道观以统一圣贤的政教	秋，七月，庚申，周主如云阳，以右宫正尉迟运兼司武，与薛公长孙览辅太子守长安
春季，正月，辛未，陈宣帝到南郊祭天	癸酉，周主如同州
癸酉，北周国主去同州	乙亥，左卫将军樊毅克潼州
乙亥，陈朝左卫将军樊毅攻克潼州	齐主还邺
北齐后主回邺城	辛巳，上祀北郊
辛巳，陈宣帝到北郊祭地	二月，丙戌朔，日有食之
二月，丙戌朔，出现日食	戊申，樊毅克下邳、高栅等六城
丙寅，北周国主回长安	夏，四月，甲午，上享太庙
庚子，北齐任命中书监阳休之为尚书右仆射	六月，壬辰，以尚书右仆射王为左仆射
六月，壬辰，陈朝任命尚书右仆射王为左仆射	甲戌，齐主如晋阳
甲戌，北齐后主去晋阳	秋，七月，丙戌，周主如云阳宫
秋季，七月，丙戌，北周国主去云阳宫	八月，癸卯，周遣使来聘
庚辰，北齐任命赵彦深为司徒，斛阿列罗为司空	闰月，车骑大将军吴明彻将兵击齐彭城；壬辰，败齐兵数万于吕梁
闰月，陈朝车骑大将军吴明彻率军攻打北齐彭城；壬辰，在吕梁打败几万齐兵	甲午，周主如同州
甲午，北周国主去同州	冬，十月，己巳，立皇子叔齐为新蔡王，叔文为晋熙王
冬季，十月，己巳，陈朝立皇子陈叔齐为新蔡王，陈叔文为晋熙王	十二月，辛亥朔，日有食之
十二月，辛亥朔，出现日食	壬戌，以王为尚书左仆射，太子詹事吴郡陆缮为右仆射
壬戌，陈朝任命王为尚书左仆射，太子詹事吴郡陆缮为右仆射	庚午，周主还长安
庚午，北周国主回长安	春，正月，癸未，周主如同州；辛卯，如河东涑川；甲午，复还同州
八年	
春季，正月，癸未，再回同州	甲寅，齐大赦
甲寅，北齐大赦全国	乙卯，齐主还邺
北齐搜求因犯罪没官当奴婢的杂户中女子尚未出嫁的，全部集中起来，凡是把这种人隐藏起来的，家长处死	壬申，以开府仪同三司吴明彻为司空
