初命晋大夫魏斯、赵籍、韩虔为诸侯	周威烈王姬午初次分封晋国大夫魏斯、赵籍、韩虔为诸侯国君
十一月，戊戌，以蜀郡太守第五伦为司空	十一月戊戌，将蜀郡太守第五伦任命为司空
伦在郡公清，所举吏多得其人，故帝自远郡用之	第五伦在蜀郡时，为官公正清廉，所举荐的官吏多能称职胜任，所以章帝将他从边远之郡调到朝廷任用
甲辰晦，日有食之	十一月甲辰晦，出现日食
是岁，京师及兖、豫、徐州大旱	本年，京城及兖州、豫州、徐州出现大旱
春，正月，诏兖、豫、徐三州禀赡饥民	春季，正月，章帝下诏，命令兖州、豫州、徐州等三州官府开仓赈济饥饿的难民
上问司徒鲍昱：何以消复旱灾	章帝问司徒鲍昱：怎样消除旱灾
对曰：陛下始践天位，虽有失得，未能致异	鲍昱答道：陛下刚即位，即使有失当之处，也不会导致灾异出现
臣前为汝南太守，典治楚事，系者千余人，恐未能尽当其罪	我先前曾任汝南太守，负责审理楚王之案，在当地拘禁了一千多人，这些囚犯恐怕不是全都有罪
夫大狱一起，冤者过半	大案一发，被冤枉者往往超过半数
又，诸徙者骨肉离分，孤魂不祀	此外，由于被流放的人和亲属分离，死后的孤魂得不到祭祀
宜一切还诸徙家，蠲除禁锢，使死生获所，则和气可致	我建议，让流放者全都返回家乡，除去不准作官的禁令，使死者生者各得其所，这样便可召致祥和之气，消除旱象
帝纳其言	章帝采纳了他的建议
甲寅，山阳、东平地震	三月甲寅，山阳、东平两地发生地震
秋，八月，庚寅，有星孛于天市	秋季，八月庚寅，天市星座出现异星
永昌、越、益州三郡兵及昆明夷卤承等击哀牢王类牢于博南，大破，斩之	永昌、越、益州三郡郡兵及昆明夷人卤承等在博南进攻哀牢王类牢，大败哀牢军，斩杀类牢
夏，四月，戊子，诏还坐楚、淮阳事徙者四百余家	夏季，四月戊子，章帝下诏，准许因楚王之案、淮阳王之案而被流放的四百余户返回故乡
十二月，戊寅，有星孛于紫宫	十二月戊寅，紫宫星座出现异星
帝纳窦勋女为贵人，有宠	章帝将窦勋的女儿选为贵人，十分宠幸
贵人母，即东海恭王女阳公主也	窦贵人的母亲，就是东海恭王刘强的女儿阳公主
三月，癸巳，立贵人窦氏为皇后	三月癸巳，将贵人窦氏立为皇后
闰月，西域假司马班超率疏勒、康居、于、拘弥兵一万人攻姑墨石城，破之，斩首七百级	闰九月，西域副司马班超率领疏勒、康居、于阗、拘弥等国军队，共一万人，进攻姑墨国石城，将石城攻破，斩杀七百人
冬，十二月，丁酉，以马防为车骑将军	冬季，十二月丁酉，任命马防为车骑将军
武陵中蛮反	武陵郡中蛮人反叛
春，二月，庚寅，太尉牟融薨	春季，二月庚寅，太尉牟融去世
夏，四月，戊子，立皇子庆为太子	夏季，四月戊子，将皇子刘庆立为太子
己丑，徙钜鹿王恭为江陵王，汝南王畅为梁王，常山王为淮阳王	四月己丑，章帝将钜鹿王刘恭改封为江陵王，汝南王刘畅改封为梁王，常山王刘改封为淮阳王
辛卯，封皇子伉为千乘王，全为平春王	四月辛卯，章帝将皇子刘伉封为千乘王，皇子刘全封为平春王
甲戌，以司徒鲍昱为太尉，南阳太守桓虞为司徒	五月甲戌，将司徒鲍昱任命为太尉，将南阳太守桓虞任命为司徒
六月，癸丑，皇太后马氏崩	六月癸丑，皇太后马氏驾崩
帝既为太后所养，专以马氏为外家，故贾贵人不登极位，贾氏亲族无受宠荣者	章帝被马太后抱养以后，只认马氏家族为外家，所以章帝的生母贾贵人不能登御太后之位，贾氏家族没有一人蒙受恩宠荣耀
及太后崩，但加贵人王赤绶，安车一驷，永巷宫人二百，御府杂帛二万匹，大司农黄金千斤，钱二千万而已	及至太后驾崩，章帝只将贾贵人的绿色绶带改为与诸侯王同级的红色绶带，并赐四马牵拉的座车一辆，永巷宫女二百人，御府各色丝绸二万匹，大司农所藏黄金一千斤，钱两千万，如此而已
秋，七月，壬戌，葬明德皇后	秋季，七月壬戌，安葬马太后
荆、豫诸郡兵讨中蛮，破之	荆州、豫州诸郡郡兵讨伐中蛮人，打败蛮人叛军
戊辰，太傅赵熹薨	五月戊辰，太傅赵熹去世
春，二月，辛卯，琅邪孝王京薨	春季，二月辛卯，琅邪王刘京去世
夏，六月，丙辰，太尉鲍昱薨	夏季，六月丙辰，太尉鲍昱去世
辛未晦，日有食之	六月辛未晦，出现日食
秋，七月，癸巳，以大司农邓彪为太尉	秋季，七月癸巳，将大司农邓彪任命为太尉
己未，徙广平王羡为西平王	六月己未，将广平王刘羡改封为西平王
春，正月，壬辰，王薨	春季，正月壬辰，东平王刘苍去世
诏告中傅封上王自建武以来章奏，并集览焉	章帝下诏，命令东平国中傅：将东平王自建武以来的奏章加封上送，我要集中阅览
遣大鸿胪持节监丧，令四姓小侯、诸国王、主悉会葬	并派大鸿胪持符节主持治丧，命令樊、阴、郭、马四姓小侯和各封国的亲王、公主都去参加葬礼
夏，六月，北匈奴三木楼訾大人稽留斯等率三万余人款五原塞降	夏季，六月，北匈奴三木楼訾大人稽留斯等，率三万余人到五原塞归降
春，闰正月，辛丑，济阴悼王长薨	春季，闰正月辛丑，济阴悼王刘长去世
夏，四月，己卯，分东平国，封献王子尚为任城王	夏季，四月己卯，分出东平国部分封土，将前东平王刘苍之子刘尚封为任城王
六月，辛酉，沛献王辅薨	六月辛酉，沛献王刘辅去世
八月，甲子，太尉邓彪罢，以大司农郑弘为太尉	八月甲子，将太尉邓彪免官，任命大司农郑弘为太尉
癸酉，诏改元	八月癸酉，下诏改变年号
丁酉，车驾南巡	八月丁酉，章帝到南方巡视
诏：所经道上州县，毋得设储	下诏说：沿途所经各州、各县，不得事先积蓄用品
命司空自将徒支拄桥梁	命司空自带工人修架桥梁
有遣使奉迎，探知起居，二千石当坐	若有派遣使者接驾，打探行踪动静的，要向郡太守问罪
十二月，壬子，诏：前以妖恶禁锢三属者，一皆蠲除之，但不得在宿卫而已	十二月壬子，章帝下诏：以往因犯有妖言惑众之罪，而父族、母族、妻族遭到禁锢而不准做官的，一律解除禁锢，只是不准到宫廷值宿警卫
南单于长死，单于汗之宣立，为伊屠于闾单于	南匈奴单于长去世，前单于汗的儿子宣继位，此即伊屠於闾单于
五月，徙江陵王恭为六安王	五月，章帝将江陵王刘恭改封为六安王
春，正月，丙申，帝北巡；辛丑，耕于怀；二月，乙丑，敕侍御史、司空曰：方春，所过毋得有所伐杀；车可以引避，引避之，马可辍解，辍解之	春季，正月丙申，章帝到北方巡视
戊辰，进幸中山，出长城；癸酉，还，幸元氏；三月，己卯，进幸赵；辛卯，还宫	正月辛丑，在怀县举行耕藉之礼
	二月乙丑
以大司农宋由为太尉	将大司农宋由任命为太尉
秋，八月，乙丑，帝幸安邑，观盐池	秋季，八月乙丑，章帝临幸安邑，视察盐池
九月，还宫	九月，返回京城皇宫
楚许太后薨	楚国许太后去世
诏改葬楚王英，追爵谥曰楚厉侯	章帝下诏，改建楚王刘英之墓，将他追封为楚厉侯
博士鲁国曹褒上疏，以为宜定文制，著成汉礼	博士鲁国人曹褒上书指出：应当建立典章制度，编写汉朝礼仪大典
太常巢堪以为一世大典，非褒所定，不可许	太常巢堪认为：这是一代大典，非曹褒这样地位的人所能制定，不可应许
帝知诸儒拘挛，难与图始，朝廷礼宪，宜以时立，乃拜褒侍中	章帝知道儒生拘谨，难以一同创新，而朝廷的礼仪规章，却应当及时确立，于是就任命曹褒为侍中
玄武司马班固以为宜广集诸儒，共议得失	玄武司马班固认为：应当广招儒家各派学者，综合不同的意见，共同讨论
帝曰：谚言：作舍道边，三年不成	章帝说：俗话说：路边建房，三年不成
会礼之家，名为聚讼，互生疑异，笔不得下	众人会商讨论礼仪制度，就像在一起吵架，相互生出各种疑问和分歧，无法下笔
昔尧作《大章》，一夔足矣	从前舜帝作《大章》时，有夔一人就足够了
春，正月，帝召褒，受以叔孙通《汉仪》十二篇，曰：此制散略，多不合经，今宜依礼修正，使可施行	春季，正月，章帝召见曹褒，将叔孙通制定的《汉仪》十二篇交给他，说道：这套制度松散精略，多与儒家经义不合，现在应当依据正规礼仪一一订正，使它能够颁布实施
夏，六月，戊辰，司徒桓虞免	夏季，六月戊辰，将司徒桓虞免官
癸卯，以司空袁安为司徒，光禄勋任隗为司空	六月癸卯，将司空袁安任命为司徒，将光禄勋任隗任命为司空
隗，光之子也	任隗是任光之子
齐王晃及弟利侯刚，与母太姬更相诬告	齐王刘晃和弟弟利侯刘刚，与他们的母亲太姬互相诬告
秋，七月，癸卯，诏贬晃爵为芜湖侯，削刚户三千，收太姬玺绶	秋季，七月癸卯，章帝下诏，将刘晃的爵位贬为芜湖侯，将刘刚的封地削减三千户，收回太姬的玺印绶带
壬子，淮阳顷王薨	七月壬子，淮阳顷王刘去世
鲜卑入左地，击北匈奴，大破之，斩优留单于而还	鲜卑部族进入北匈奴东部地区，并发动攻击，大败北匈奴，斩杀优留单于后返回故地
北匈奴大乱，屈兰储等五十八部、口二十八万诣云中、五原、朔方、北地降	北匈奴发生大乱，屈兰储等五十八个部落、人口二十八万，到云中、五原、朔方、北地归降
曹褒依准旧典，杂以《五经》、《谶记》之文，撰次天子至于庶人冠、婚、吉、凶终始制度凡百五十篇，奏之	曹褒以旧典为基础，加入儒家《五经》和《谶记》上的记载，依次编写由皇帝到平民的成年加冠礼、婚嫁礼、祭祀礼、丧葬凶灾礼等仪程，共一百五十篇，奏报章帝
帝以众论难一，故但纳之，不复令有司平奏	章帝认为众人的意见很难统一，所以就接受了曹褒制定的典章，不再命有关部门进行评议
三月，用遗诏徙西平王羡为陈王，六安王恭为彭城王	三月，根据章帝遗诏，将西平王刘羡改封为陈王，将六安王刘恭改封为彭城王
癸卯，葬孝章皇帝于敬陵	三月癸卯，将章帝安葬于敬陵
南单于宣死，单于长之弟屯屠何立，为休兰尸逐侯单于	南匈奴单于宣去世，前单于长的弟弟屯屠何继位，此即休兰尸逐侯单于
癸亥，陈王羡、彭城王恭、乐成王党、下邳王衍、梁王畅始就国	癸亥，陈王刘羡、彭城王刘恭、乐成王刘党、下邳王刘衍、梁王刘畅开始前往封国就位
夏，四月，戊寅，以遗诏罢郡国盐铁之禁，纵民煮铸	夏季，四月戊寅，根据章帝遗诏，撤销各郡各封国盐铁专卖的规定，允许民间煮盐铸铁，自由经营
五月，京师旱	五月，京城发生旱灾
秋，七月，乙未，会稽山崩	秋季，七月乙未，会稽发生山崩
冬，十月，庚子，阜陵质王延薨	冬季，十月庚子，阜陵质王刘延去世
是岁，郡国九大水	本年，九个郡和封国发生水灾
	二年
春，正月，丁丑，赦天下	春季，正月丁丑，大赦天下
二月，壬午，日有食之	二月壬午，出现日食
窦宪遣副校尉阎砻将二千余骑掩击北匈奴之守伊吾者，复取其地	窦宪派副校尉阎砻率领骑兵二千余人袭击北匈奴在伊吾的守军，重新占领该地
车师震慑，前、后王各遣子入侍	车师深感震恐，前后王国的国王都分别派遣王子到汉朝充当人质
冬，十月，癸未，上行幸长安，诏求萧、曹近亲宜为嗣者，绍其封邑	冬季，十月癸未，和帝出行，临幸长安，下诏在萧何、曹参的近亲中寻访适合做后嗣的人，继承萧、曹的封土
春，正月，遣大将军左校尉耿夔授于除印绶，使中郎将任尚持节卫护屯伊吾，如南单于故事	春季，正月，派遣大将军左校尉耿夔授予北匈奴于除印信绶带，命中郎将任尚持符节护卫，屯驻伊吾，一如南匈奴单于先例
三月，癸丑，司徒袁安薨	三月癸丑，司徒袁安去世
闰月，丁丑，以太常丁鸿为司徒	闰三月丁丑，将太常丁鸿任命为司徒
夏，四月，丙辰，窦宪还至京师	夏季，四月丙辰，窦宪回到京城洛阳
丙辰，郡国十三地震	丙辰，有十三个郡和封国发生地震
旱，蝗	发生旱灾和蝗灾
八月，辛亥，司空任隗薨	八月辛亥，司空任隗去世
冬，十月，以宗正刘方为司空	冬季，十月，将宗正刘方任命为司空
武陵、零陵、澧中蛮叛	武陵、零陵、澧中蛮人反叛
戊子，千乘贞王伉薨	戊子，千乘贞王刘伉去世
辛卯，封皇弟万岁为广宗王	辛卯，将皇弟刘万岁封为广宗王
甲寅，太傅邓彪薨	甲寅，太傅邓彪去世
戊午，陇西地震	戊午，陇西郡发生地震
夏，四月，壬子，绍封阜陵殇王兄鲂为阜陵王	夏季，四月壬子，将已故阜陵殇王刘冲的哥哥刘鲂封为阜陵王
九月，辛酉，广宗殇王万岁薨	九月辛酉，广宗王刘万岁去世
无子，国除	因无子嗣，封国撤除
冬，十月，辛未，太尉尹睦薨	冬季，十月辛未，太尉尹睦去世
是岁，武陵郡兵破叛蛮，降之	本年，武陵郡郡兵打败叛乱的蛮人，接受蛮人投降
护羌校尉贯友遣译使构离诸羌，诱以财货，由是解散	护羌校尉贯友派翻译官做使者，离间羌人诸部落，并用财物进行引诱，羌人诸部落联盟因此瓦解
乃遣兵出塞，攻迷唐于大、小榆谷，获首虏八百余人，收麦数万斛，遂夹逢留大河筑城坞，作大航，造河桥，欲度兵击迷唐	于是贯友派兵出塞，在大、小榆谷对迷唐展开进攻，斩杀及俘虏八百余人，缴获小麦数万斛，然后又在逢留大河两岸修筑城堡，制造大船，兴建河桥，打算派兵渡河去追击迷唐
迷唐率部落远徙，依赐支河曲	迷唐率领部落向远方迁徙，到达赐支河曲
己卯，司徒丁鸿薨	正月己卯，司徒丁鸿去世
二月，丁未，以司空刘方为司徒，太常张奋为司空	二月丁未，将司空刘方任命为司徒，将太常张奋任命为司空
秋，七月，京师旱	秋季，七月，京城发生旱灾
夏，四月，辛亥朔，日有食之	夏季，四月辛刻朔，出现日食
秋，七月，乙巳，易阳地裂	秋季，七月乙巳，易阳发生地裂
九月，癸卯，京师地震	九月癸卯，京城洛阳发生地震
乐成王党坐贼杀人，削东光、二县	乐成王刘党被指控有杀人之罪，削去封国的东光、县二县
	八年
五月，河内、陈留蝗	五月，河内、陈留两郡发生蝗灾
南匈奴右温禺犊王乌居战畔出塞	南匈奴右温禺犊王乌居战反叛出塞
秋，七月，度辽将军庞奋、越骑校尉冯柱追击破之，徙其余众及诸降胡二万余人于安定、北地	秋季，七月，度辽将军庞奋、越骑校尉冯柱出兵追击，打败乌居战，将他的残余部众及归降的匈奴部落二万余人迁徙到安定、北地二郡
车师后部王涿反，击前王尉毕大，获其妻子	车师后部王涿反叛，攻击车师前王尉毕大，俘虏了尉毕大的妻子儿女
九月，京师蝗	九月，京城洛阳发生蝗灾
冬，十月，乙丑，北海王威以非敬王子，又坐诽谤，自杀	冬季，十月乙丑，北海王刘威由于不是前北海王刘睦的亲子，并被指控犯有诽谤之罪，因而自杀
十二月，辛亥，陈敬王羡薨	十二月辛亥，陈敬王刘羡去世
丁巳，南宫宣室殿火	丁巳，南宫宣室殿失火
春，三月，庚辰，陇西地震	春季，三月庚辰，陇西郡发生地震
癸巳，济南安王康薨	癸巳，济南安王刘康去世
西域长史王林击车师后王，斩之	西域长史王林进攻车师后王，将他斩杀
夏，四月，丁卯，封乐成王党子巡为乐成王	夏季，四月丁卯，将乐成王刘党的儿子刘巡封为乐成王
五月，封皇后父屯骑校尉阴纲为吴房侯，以特进就第	五月，将皇后的父亲、屯骑校尉阴纲封为吴房侯，阴纲以特进身份离开官位，前往邸第
六月，旱，蝗	六月，发生旱灾和蝗灾
十一月，癸卯，以光禄勋河南吕盖为司徒	十一月癸卯，将光禄勋、河南人吕盖任命为司徒
十二月，丙寅，司空张奋罢	十二月丙寅，将司空张奋免官
壬申，以太仆韩棱为司空	十二月壬申，将太仆韩棱任命为司空
夏，五月，京师大水	夏季，五月，京城洛阳发生水灾
秋，七月，己巳，司空韩棱薨	秋季，七月己巳，司空韩棱去世
八月，丙子，以太常太山巢堪为司空	八月丙子，将太常太山人巢堪任命为司空
冬，十月，五州雨水	冬季，十月，有五个州大雨成灾
戊寅，梁节王畅薨	戊寅，梁节王刘畅去世
南单于师子死，单于长之子檀立，为万氏尸逐单于	南匈奴单于师子去世，前单于长的儿子檀继位，此即万氏尸逐单于
	十一年
夏，四月，丙寅，赦天下	夏季，四月丙寅，大赦天下
夏，四月，戊辰，秭归山崩	夏季，四月戊辰，秭归山发生山崩
秋，七月，辛亥朔，日有食之	秋季，七月辛亥朔，出现日食
九月，戊午，太尉张免	九月戊午，将太尉张免职
丙寅，以大司农张禹为太尉	丙寅，将大司农张禹任命为太尉
秋，八月，己亥，北宫盛馔门阁火	秋季，八月己亥，洛阳北宫盛馔门楼失火
迷唐复还赐支河曲，将兵向塞	迷唐又回到赐支河曲，率兵接近汉朝边塞
护羌校尉周鲔与金城太守侯霸及诸郡兵、属国羌、胡合三万人至允川	护羌校尉周鲔和金城太守侯霸，率领各郡郡兵、附属国的羌兵、胡兵，共三万人，到达允川
侯霸击破迷唐，种人瓦解，降者六千余口，分徙汉阳、安定、陇西	侯霸打败迷唐，烧当部落瓦解，六千余人投降，将他们分别迁徙到汉阳、安定和陇西
迷唐遂弱，远逾赐支河首，依发羌居	迷唐从此势力衰弱，他越过赐支河源头远逃，投靠到发羌部落定居
久之，病死，其子来降，户不满数十	多年以后，迷唐病死，他的儿子前来归降，部众已不足数十户
荆州雨水	荆州大雨成灾
戊辰，司徒吕盖以老病致仕	戊辰，司徒吕盖因年老患病退休
三州大水	有三个州发生水灾
丁酉，司空巢堪罢	十月丁酉，和帝将司空巢堪罢免
是岁，初封大长秋郑众为乡侯	本年，和帝打破常例，首次将大长秋郑众封为乡侯
	十五年
四州雨水	有四个州大雨成灾
是岁，初令郡国以日北至按薄刑	本年，首次命令各郡、各封国从夏至日开始审理轻刑案件
	十六年
秋，七月，旱	秋季，七月，发生旱灾
辛酉，司徒鲁恭免	辛酉，将司徒鲁恭免职
十一月，己丑，帝行幸缑氏，登百山	十一月己丑，和帝出行，临幸缑氏，登上百山
北匈奴遣使称臣贡献，愿和亲，修呼韩邪故约	北匈奴派遣使者称臣进贡，愿意和亲通好，请求重新修订呼韩邪单于00时代的旧约
帝以其旧礼不备，未许；而厚加赏赐，不答其使	和帝认为北匈奴不具备呼韩邪单于的礼数，没有接受请求，只给厚重的赏赐，不派使者回报
	元兴元年
夏，四月，庚午，赦天下，改元	夏季，四月庚午，大赦天下，改年号
秋，九月，辽东太守耿夔击高句骊，破之	秋季，九月，辽东郡太守耿夔进攻高句丽，将高句丽军打败
北匈奴重遣使诣敦煌贡献，辞以国贫未能备礼，愿请大使，当遣子入侍	北匈奴再次派遣使者到敦煌进贡，解释说：由于我国贫穷，不能礼数周全，希望能请汉朝使者前来，北匈奴将派遣王子到汉朝充当人质
太后亦不答其使，加赐而已	邓太后也没有派使者回报，只给予赏赐而已
封皇兄胜为平原王	将皇兄刘胜封为平原王
癸卯，以光禄勋梁鲔为司徒	正月癸卯，将光禄勋梁鲔任命为司徒
三月，甲申，葬孝和皇帝于慎陵，庙曰穆宗	三月甲申，将和帝安葬在慎陵，庙号称为穆宗
丙寅，以虎贲中郎将邓骘为车骑将军、仪同三司	丙寅，将虎贲中郎将邓骘任命为车骑将军、仪同三司，待遇与三公相同
骘弟黄门侍郎悝为虎贲中郎将，弘、阊皆侍中	将邓骘的弟弟、黄门侍郎邓悝任命为虎贲中郎将，邓弘、邓阊二人皆为侍中
司空陈宠薨	司空陈宠去世
五月，辛卯，赦天下	五月辛卯，大赦天下
壬辰，河东垣山崩	壬辰，河东郡垣山发生山崩
六月，丁未，以太常尹勤为司空	六月丁未，将太常尹勤任命为司空
郡国三十七雨水	有三十七个郡和封国大雨成灾
丁卯，诏免遣掖庭宫人及宗室没入者皆为庶民	六月丁卯，下诏遣散掖庭部分宫人，并将罚入掖庭当奴婢的皇族成员一律免罪，使他们成为平民
秋，七月，庚寅，敕司隶校尉、部刺史曰：间者郡国或有水灾，妨害秋稼，朝廷惟咎，忧惶悼惧	秋季，七月庚寅，敕令司隶校尉和部刺史：近来有些郡和封国发生水灾，伤害了秋天的庄稼，朝廷思考自己的过失，深为忧虑惶恐
而郡国欲获丰穰虚饰之誉，遂覆蔽灾害，多张垦田，不揣流亡，竞增户口，掩匿盗贼，令奸恶无惩，署用非次，选举乖宜，贪苛惨毒，延及平民	然而各地方官府为了要得到丰产的虚名假誉，便隐瞒灾情，夸大垦田面积；不去统计逃亡人数，却竞相增加户口；掩盖盗匪活动情况，使罪犯得不到惩处；不依照规定次序任用官吏，举荐人才不当，将贪婪苛刻的祸害，加在人民的身上
刺史垂头塞耳，阿私下比，不畏于天，不愧于人	而刺史却低头塞耳，循私包庇，在下面互相勾结，不知畏惧上天，也不知愧对于人
假贷之恩，不可数恃，自今以后，将纠其罚	不能让他们一再地仗恃朝廷的宽容恩典，从今以后，将加重对不法官员的处罚
二千石长吏其各实核所伤害，为除田租刍稿	现命令二千石官员各自核查百姓受灾情况，免除他们应向国家交付的田赋禾秆
九月，六州大水	九月，有六个州发生水灾
丙寅，葬孝殇皇帝于康陵	丙寅，将殇帝安葬于康陵
以连遭大水，百姓苦役，方中秘藏及诸工作事，减约十分居一	因国家接连遭受水灾，人民苦于徭役，所以陵墓中的随葬之物及各项工程都予以裁减，只留十分之一
乙亥，殒石于陈留	乙亥，陈留郡天降陨石
冬，十月，四州大水，雨雹	冬季，十月，有四个州发生水灾和雹灾
清河孝王庆病笃，上书求葬樊濯宋贵人冢旁	清河王刘庆病重，上书请求死后葬在樊濯宋贵人墓旁
十二月，甲子，王薨	十二月甲子，刘庆去世
乙酉，罢鱼龙曼延戏	十二月乙酉，废止杂戏鱼龙曼延
春，正月，癸酉朔，赦天下	春季，正月癸酉朔，大赦天下
蜀郡徼外羌内属	蜀郡边境外的羌人归附汉朝
二月，丁卯，分清河国封帝弟常保为广川王	二月丁卯，分割清河国部分封土，将安帝的弟弟刘常保封为广川王
庚午，司徒梁鲔薨	庚午，司徒梁鲔去世
三月，癸酉，日有食之	三月癸酉，出现日食
已卯，永昌徼外僬侥种夷陆类等举种内附	已卯，永昌郡边境外夷人僬侥部落的首领陆类等人，率领全体部众归附汉朝
甲申，葬清河孝王于广丘，司空、宗正护丧事，仪比东海恭王	三月甲申，将清河孝王刘庆安葬在广丘，由司空、宗正负责治丧，礼仪比照东海恭王刘强
丁丑，诏封北海王睦孙寿光侯普为北海王	丁丑，邓太后下诏，将前北海王刘睦的孙子、寿光侯刘普封为北海王
九真徼外、夜郎蛮夷，举土内属	九真郡边境外的蛮夷及夜郎国蛮夷，以全部领土归属汉朝
西域都护段禧等虽保龟兹，而道路隔塞，檄书不通	西域都护段禧等虽然保住了龟兹，但通往中原的道路已被堵塞，命令、文件无法传递
公卿议者以为西域阻远，数有背叛，吏士屯田，其费无已	公卿中议论此事的人认为：西域阻碍重重而距离遥远，又屡次反叛；官兵在那里屯戍垦田，经费消耗没有止境
六月，壬戌，罢西域都护，遣骑都尉王弘发关中兵迎禧及梁、赵博，伊吾卢、柳中屯田吏士而还	六月壬戌东汉朝廷撤销西域都护，派遣骑都尉王弘征调关中兵，将段禧和梁、赵博以及伊吾庐和柳中的屯田官兵接回汉朝本土
秋，九月，庚午，太尉徐防以灾异、寇贼策免	秋季，九月庚午，太尉徐防因天灾、天象异常和叛匪作乱而被颁策罢免
三公以灾异免，自防始	太尉、司徒、司空三公由于天灾或天象异常而遭罢免，徐防乃是首例
辛未，司空尹勤以水雨漂流策免	辛未，司空尹勤因大雨水灾被颁策罢免
壬午，诏：太仆、少府减黄门鼓吹以补羽林士；厩马非乘舆常所御者，皆减半食；诸所造作，非供宗庙园陵之用，皆且止	九月壬午，诏书命令：太仆、少府裁减黄门乐队，用来增补羽林武士的名额；厩苑中的官马，凡不是皇上经常使用的，一律将食料减半；各项工程，凡不是用来供应皇家宗庙和陵园的，一律暂停
庚寅，以太傅张禹为太尉，太常周章为司空	庚寅，将太傅张禹任命为太尉，将太常周章任命为司空
戊子，敕司隶校尉、冀、并二州刺史，民讹言相惊，弃捐旧居，老弱相携，穷困道路	十一月戊子，太后训令司隶校尉及冀州、并州两州刺史：人民受到谣言的惊扰，抛弃了旧居，扶老携幼，在路上贫困交加
其各敕所部长吏躬亲晓喻：若欲归本郡，在所为封长檄；不欲，勿强	司隶校尉及冀州、并州两位刺史，要命令下属官员亲自对百姓进行劝导，说明情况：如果他们愿意返回原郡，由当地官府为他们出县公文；如果不愿返回，也不勉强
十二月，乙卯，以颍川太守张敏为司空	十二月乙卯，将颍川太守张敏任命为司空
诏车骑将军邓骘、征西校尉任尚将五营及诸郡兵五万人，屯汉阳以备羌	诏书命令车骑将军邓骘和征西校尉任尚，率领屯骑、步兵、越骑、长水、射声等五营兵及各郡郡兵，共五万人，进驻汉阳，以防备羌军进攻
是岁，郡国十八地震，四十一大水，二十八大风，雨雹	本年，有十八个郡和封国发生地震，四十一个郡和封国大水成灾，二十八个郡和封国发生风灾和雹灾
鲜卑大人燕荔阳诣阙朝贺	鲜卑首领燕荔阳到汉朝宫廷朝贺
太后赐燕荔阳王印绶、赤车、参驾，令止乌桓校尉所居宁城下，通胡市，因筑南、北两部质馆	邓太后将王爵印信绶带和三匹马驾驶的赤车赐给燕荔阳，命他定居在乌桓校尉的驻地宁城附近，开通边塞贸易，还特地修建了南北两个宾馆，用来接待人质
鲜卑邑落百二十部各遣入质	鲜卑一百二十个部落分别将人质送到汉朝
御史中丞樊准以郡国连年水旱，民多饥困，上疏：请令太官、尚方、考功、上林池诸官，实减无事之物；五府调省中都官吏、京师作者	御史中丞樊准因各地连年水旱成灾，许多百姓饥饿贫困，上书说：请命令太官、尚方、考工、上林等各官署，核实裁撤无用之物；太傅、太尉、司徒、司空、车骑将军等五府，调整削减中央官吏及在京城营造建筑的工匠
又，被灾之郡，百姓凋残，恐非赈给所能胜赡，虽有其名，终无其实	再者，受灾各郡的百姓凋零残破，恐怕官府的赈济不能拯救他们，虽然有赈济之名，却最终收不到赈济之实
可依征和元年故事，遣使持节慰安，尤困乏者徙置荆、扬孰郡	建议依照汉武帝征和元年的先例，派遣使者持符节前往灾区进行慰问，将特别贫困的灾民迁徙安置到荆州、扬州所属的丰产郡
今虽有西屯之役，宜先东州之急	目前虽然西方有战事，也应先解救东方的急难
太后从之，悉以公田赋与贫民，即擢准与议郎吕仓并守光禄大夫	邓太后听从了樊准的建议，将国家所有的公田全部交给贫民使用，并随即擢升樊准，将他和议郎吕仓一同任命为代理光禄大夫
二月，乙丑，遣准使冀州、仓使兖州禀贷，流民咸得苏息	二月乙丑，派遣樊准为使者前往冀州，派遣吕仓为使者前往兖州，对灾民进行赈济，流亡的百姓全都得以复苏
六月，京师及郡国四十大水，大风，雨雹	六月，京城及四十个郡和封国出现水灾、风灾和雹灾
秋，七月，太白入北斗	秋季，七月，金星进入北斗星座
癸未，蜀郡徼外羌举土内属	癸未，蜀郡边境外的羌人以全部土地归属汉朝
十二月，广汉塞外参狼羌降	十二月，广汉郡边塞外的羌人参狼部落归降
是岁，郡国十二地震	本年，有十二个郡和封国发生地震
甲申，清河愍王虎威薨，无子	四月甲申，清河愍王刘虎威去世，没有子嗣
五月，丙申，封乐安王宠子延平为清河王，奉孝王后	五月丙申将乐安王刘宠的儿子刘延平封为清河王，作为清河孝王刘庆的后嗣
六月，渔阳乌桓与右北平胡千余寇代郡、上谷	六月，渔阳郡的乌桓部落与右北平的胡人部落，共一千余人，进攻代郡、上谷
九月，雁门乌桓率众王无何允与鲜卑大人丘伦等及南匈奴骨都合七千骑寇五原，与太守战于高渠谷，汉兵大败	九月，雁门郡的乌桓率众王无何允与鲜卑大人丘伦等，联合南匈奴的骨都，共七千骑兵，进攻五原郡，与五原郡太守在高渠谷交战，汉军大败
十二月，辛酉，郡国九地震	十二月辛酉，有九个郡和封国发生地震
乙亥，有星孛于天苑	十二月乙亥，天苑星座出现异星
是岁，京师及郡国四十一雨水，并、凉二州大饥，人相食	本年，京城洛阳和四十一个郡和封国大雨成灾，并州、凉州发生严重饥荒，出现人吃人的现象
